Name	Statistic	Cells
Specimen_001_A1_A01.fcs		6
Specimen_001_A1_A01.fcs/mCherry	0	0
Specimen_001_A3_A03.fcs		7422
Specimen_001_A3_A03.fcs/mCherry	99.8	7406
Specimen_001_A4_A04.fcs		10261
Specimen_001_A4_A04.fcs/mCherry	99.7	10235
Specimen_001_A5_A05.fcs		7559
Specimen_001_A5_A05.fcs/mCherry	88.8	6710
Specimen_001_A6_A06.fcs		7843
Specimen_001_A6_A06.fcs/mCherry	90	7056
Specimen_001_A7_A07.fcs		6417
Specimen_001_A7_A07.fcs/mCherry	76.2	4891
Specimen_001_A8_A08.fcs		6913
Specimen_001_A8_A08.fcs/mCherry	78.5	5430
Specimen_001_A9_A09.fcs		7440
Specimen_001_A9_A09.fcs/mCherry	76.7	5709
Specimen_001_A10_A10.fcs		10752
Specimen_001_A10_A10.fcs/mCherry	76.9	8267
Specimen_001_A11_A11.fcs		12245
Specimen_001_A11_A11.fcs/mCherry	66.9	8189
Specimen_001_A12_A12.fcs		3519
Specimen_001_A12_A12.fcs/mCherry	0.57	20
Specimen_001_A13_A13.fcs		12741
Specimen_001_A13_A13.fcs/mCherry	73.6	9373
Specimen_001_A14_A14.fcs		9870
Specimen_001_A14_A14.fcs/mCherry	75.9	7488
Specimen_001_A15_A15.fcs		10856
Specimen_001_A15_A15.fcs/mCherry	78.4	8509
Specimen_001_A16_A16.fcs		11645
Specimen_001_A16_A16.fcs/mCherry	79.6	9273
Specimen_001_A17_A17.fcs		11325
Specimen_001_A17_A17.fcs/mCherry	72.2	8176
Specimen_001_A18_A18.fcs		11821
Specimen_001_A18_A18.fcs/mCherry	76.7	9063
Specimen_001_A19_A19.fcs		10135
Specimen_001_A19_A19.fcs/mCherry	85.9	8705
Specimen_001_A20_A20.fcs		11741
Specimen_001_A20_A20.fcs/mCherry	87.3	10246
Specimen_001_A21_A21.fcs		12989
Specimen_001_A21_A21.fcs/mCherry	99.8	12963
Specimen_001_A22_A22.fcs		13377
Specimen_001_A22_A22.fcs/mCherry	99.6	13327
Specimen_001_B3_B03.fcs		15395
Specimen_001_B3_B03.fcs/mCherry	99.5	15322
Specimen_001_B4_B04.fcs		19716
Specimen_001_B4_B04.fcs/mCherry	99.6	19640
Specimen_001_B5_B05.fcs		16483
Specimen_001_B5_B05.fcs/mCherry	94	15490
Specimen_001_B6_B06.fcs		16417
Specimen_001_B6_B06.fcs/mCherry	94.3	15483
Specimen_001_B7_B07.fcs		15890
Specimen_001_B7_B07.fcs/mCherry	82.5	13108
Specimen_001_B8_B08.fcs		14715
Specimen_001_B8_B08.fcs/mCherry	83.1	12232
Specimen_001_B9_B09.fcs		12511
Specimen_001_B9_B09.fcs/mCherry	84.7	10596
Specimen_001_B10_B10.fcs		14330
Specimen_001_B10_B10.fcs/mCherry	86.9	12455
Specimen_001_B11_B11.fcs		12797
Specimen_001_B11_B11.fcs/mCherry	77.5	9912
Specimen_001_B12_B12.fcs		15253
Specimen_001_B12_B12.fcs/mCherry	82.4	12572
Specimen_001_B13_B13.fcs		12908
Specimen_001_B13_B13.fcs/mCherry	82	10584
Specimen_001_B14_B14.fcs		13006
Specimen_001_B14_B14.fcs/mCherry	85	11057
Specimen_001_B15_B15.fcs		12187
Specimen_001_B15_B15.fcs/mCherry	45.2	5506
Specimen_001_B16_B16.fcs		15093
Specimen_001_B16_B16.fcs/mCherry	87.8	13255
Specimen_001_B17_B17.fcs		13555
Specimen_001_B17_B17.fcs/mCherry	83.9	11374
Specimen_001_B18_B18.fcs		15934
Specimen_001_B18_B18.fcs/mCherry	84.8	13515
Specimen_001_B19_B19.fcs		14863
Specimen_001_B19_B19.fcs/mCherry	93.8	13948
Specimen_001_B20_B20.fcs		16119
Specimen_001_B20_B20.fcs/mCherry	93.8	15123
Specimen_001_B21_B21.fcs		20181
Specimen_001_B21_B21.fcs/mCherry	99.6	20105
Specimen_001_B22_B22.fcs		16276
Specimen_001_B22_B22.fcs/mCherry	99.6	16208
Specimen_001_C3_C03.fcs		9790
Specimen_001_C3_C03.fcs/mCherry	98	9591
Specimen_001_C4_C04.fcs		10143
Specimen_001_C4_C04.fcs/mCherry	97.7	9909
Specimen_001_C5_C05.fcs		9079
Specimen_001_C5_C05.fcs/mCherry	68.5	6220
Specimen_001_C6_C06.fcs		10039
Specimen_001_C6_C06.fcs/mCherry	75.6	7594
Specimen_001_C7_C07.fcs		10491
Specimen_001_C7_C07.fcs/mCherry	81	8499
Specimen_001_C8_C08.fcs		11613
Specimen_001_C8_C08.fcs/mCherry	83	9643
Specimen_001_C9_C09.fcs		9529
Specimen_001_C9_C09.fcs/mCherry	87	8293
Specimen_001_C10_C10.fcs		10215
Specimen_001_C10_C10.fcs/mCherry	88.6	9046
Specimen_001_C11_C11.fcs		10570
Specimen_001_C11_C11.fcs/mCherry	99.7	10535
Specimen_001_C12_C12.fcs		10059
Specimen_001_C12_C12.fcs/mCherry	99.6	10018
Specimen_001_C13_C13.fcs		11872
Specimen_001_C13_C13.fcs/mCherry	99.8	11846
Specimen_001_C14_C14.fcs		9892
Specimen_001_C14_C14.fcs/mCherry	99.7	9861
Specimen_001_C15_C15.fcs		10828
Specimen_001_C15_C15.fcs/mCherry	86.1	9324
Specimen_001_C16_C16.fcs		12493
Specimen_001_C16_C16.fcs/mCherry	87.7	10961
Specimen_001_C17_C17.fcs		10447
Specimen_001_C17_C17.fcs/mCherry	80.7	8427
Specimen_001_C18_C18.fcs		9943
Specimen_001_C18_C18.fcs/mCherry	84.4	8391
Specimen_001_C19_C19.fcs		10841
Specimen_001_C19_C19.fcs/mCherry	73.7	7989
Specimen_001_C20_C20.fcs		12803
Specimen_001_C20_C20.fcs/mCherry	73.5	9405
Specimen_001_C21_C21.fcs		11073
Specimen_001_C21_C21.fcs/mCherry	97	10741
Specimen_001_C22_C22.fcs		12147
Specimen_001_C22_C22.fcs/mCherry	97.5	11847
Specimen_001_D3_D03.fcs		15280
Specimen_001_D3_D03.fcs/mCherry	98.1	14990
Specimen_001_D4_D04.fcs		14306
Specimen_001_D4_D04.fcs/mCherry	98.1	14041
Specimen_001_D5_D05.fcs		13359
Specimen_001_D5_D05.fcs/mCherry	81.9	10946
Specimen_001_D6_D06.fcs		13536
Specimen_001_D6_D06.fcs/mCherry	84	11372
