well_id	sample_id	fact	name_long	cells	dark
A01	BLANK	SC37_A	Specimen_002_A1_A01_321.fcs	7	2
A02	BLANK	SC37_B	Specimen_002_A2_A02_322.fcs	5	5
A03	F02_A1.1_A11_1	SC37_A	Specimen_001_A3_A03_001.fcs	5470	757
A04	F02_A1.1_A11_1	SC37_B	Specimen_001_A4_A04_002.fcs	5751	709
A05	A03_A1.1_A12_1	SC37_A	Specimen_001_A5_A05_003.fcs	5107	746
A06	A03_A1.1_A12_1	SC37_B	Specimen_001_A6_A06_004.fcs	5155	842
A07	C03_A3_H11_1	SC37_A	Specimen_001_A7_A07_005.fcs	7246	5755
A08	C03_A3_H11_1	SC37_B	Specimen_001_A8_A08_006.fcs	5353	4621
A09	E03_A3_H03_1	SC37_A	Specimen_001_A9_A09_007.fcs	8170	4645
A10	E03_A3_H03_1	SC37_B	Specimen_001_A10_A10_008.fcs	5613	3613
A11	G03_A1.1_B12_1	SC37_A	Specimen_001_A11_A11_009.fcs	7178	1633
A12	G03_A1.1_B12_1	SC37_B	Specimen_001_A12_A12_010.fcs	2416	654
A13	A04_A3_G12_1	SC37_A	Specimen_001_A13_A13_011.fcs	4518	2894
A14	A04_A3_G12_1	SC37_B	Specimen_001_A14_A14_012.fcs	3300	2366
A15	C04_A3_H02_1	SC37_A	Specimen_001_A15_A15_013.fcs	6260	4795
A16	C04_A3_H02_1	SC37_B	Specimen_001_A16_A16_014.fcs	4764	3745
A17	E04_A3_G01_1	SC37_A	Specimen_001_A17_A17_015.fcs	4882	3484
A18	E04_A3_G01_1	SC37_B	Specimen_001_A18_A18_016.fcs	3743	2916
A19	G04_A3_H09_1	SC37_A	Specimen_001_A19_A19_017.fcs	5804	4170
A20	G04_A3_H09_1	SC37_B	Specimen_001_A20_A20_018.fcs	4815	3805
A21	A05_A1.1_A08_1	SC37_A	Specimen_001_A21_A21_019.fcs	4741	368
A22	A05_A1.1_A08_1	SC37_B	Specimen_001_A22_A22_020.fcs	4545	357
A23	REF	SC37_A	Specimen_003_A23_A23_353.fcs	6350	269
A24	REF	SC37_B	Specimen_003_A24_A24_354.fcs	7210	315
B01	BLANK	lowP_A	Specimen_002_B1_B01_323.fcs	2	2
B02	BLANK	lowP_B	Specimen_002_B2_B02_324.fcs	5	4
B03	F02_A1.1_A11_1	lowP_A	Specimen_001_B3_B03_021.fcs	6299	1273
B04	F02_A1.1_A11_1	lowP_B	Specimen_001_B4_B04_022.fcs	5947	1458
B05	A03_A1.1_A12_1	lowP_A	Specimen_001_B5_B05_023.fcs	5766	1283
B06	A03_A1.1_A12_1	lowP_B	Specimen_001_B6_B06_024.fcs	6723	1091
B07	C03_A3_H11_1	lowP_A	Specimen_001_B7_B07_025.fcs	6314	4398
B08	C03_A3_H11_1	lowP_B	Specimen_001_B8_B08_026.fcs	6294	4590
B09	E03_A3_H03_1	lowP_A	Specimen_001_B9_B09_027.fcs	7190	3975
B10	E03_A3_H03_1	lowP_B	Specimen_001_B10_B10_028.fcs	7486	4243
B11	G03_A1.1_B12_1	lowP_A	Specimen_001_B11_B11_029.fcs	7093	3582
B12	G03_A1.1_B12_1	lowP_B	Specimen_001_B12_B12_030.fcs	6743	3379
B13	A04_A3_G12_1	lowP_A	Specimen_001_B13_B13_031.fcs	6677	5225
B14	A04_A3_G12_1	lowP_B	Specimen_001_B14_B14_032.fcs	5522	4173
B15	C04_A3_H02_1	lowP_A	Specimen_001_B15_B15_033.fcs	6245	4355
B16	C04_A3_H02_1	lowP_B	Specimen_001_B16_B16_034.fcs	5737	3946
B17	E04_A3_G01_1	lowP_A	Specimen_001_B17_B17_035.fcs	4724	3676
B18	E04_A3_G01_1	lowP_B	Specimen_001_B18_B18_036.fcs	4451	3416
B19	G04_A3_H09_1	lowP_A	Specimen_001_B19_B19_037.fcs	5945	4267
B20	G04_A3_H09_1	lowP_B	Specimen_001_B20_B20_038.fcs	5515	4270
B21	A05_A1.1_A08_1	lowP_A	Specimen_001_B21_B21_039.fcs	7635	5279
B22	A05_A1.1_A08_1	lowP_B	Specimen_001_B22_B22_040.fcs	6411	4639
B23	REF	lowP_A	Specimen_003_B23_B23_355.fcs	11245	65
B24	REF	lowP_B	Specimen_003_B24_B24_356.fcs	9862	54
C01	C02_A3_A03_1	SC37_A	Specimen_002_C1_C01_325.fcs	5700	2711
C02	C02_A3_A03_1	SC37_B	Specimen_002_C2_C02_326.fcs	8117	3856
C03	F02_A1.1_A11_2	SC37_A	Specimen_001_C3_C03_041.fcs	4580	351
C04	F02_A1.1_A11_2	SC37_B	Specimen_001_C4_C04_042.fcs	3658	297
C05	A03_A1.1_A12_2	SC37_A	Specimen_001_C5_C05_043.fcs	4380	574
C06	A03_A1.1_A12_2	SC37_B	Specimen_001_C6_C06_044.fcs	2708	430
C07	C03_A3_H11_2	SC37_A	Specimen_001_C7_C07_045.fcs	6360	5274
C08	C03_A3_H11_2	SC37_B	Specimen_001_C8_C08_046.fcs	4127	3569
C09	E03_A3_H03_2	SC37_A	Specimen_001_C9_C09_047.fcs	5251	3312
C10	E03_A3_H03_2	SC37_B	Specimen_001_C10_C10_048.fcs	3637	2537
C11	G03_A1.1_B12_2	SC37_A	Specimen_001_C11_C11_049.fcs	4571	1045
C12	G03_A1.1_B12_2	SC37_B	Specimen_001_C12_C12_050.fcs	2760	621
C13	A04_A3_G12_2	SC37_A	Specimen_001_C13_C13_051.fcs	4436	2998
C14	A04_A3_G12_2	SC37_B	Specimen_001_C14_C14_052.fcs	4138	2872
C15	C04_A3_H02_2	SC37_A	Specimen_001_C15_C15_053.fcs	5060	3671
C16	C04_A3_H02_2	SC37_B	Specimen_001_C16_C16_054.fcs	4205	3162
C17	E04_A3_G01_2	SC37_A	Specimen_001_C17_C17_055.fcs	4872	3555
C18	E04_A3_G01_2	SC37_B	Specimen_001_C18_C18_056.fcs	4124	3286
C19	G04_A3_H09_2	SC37_A	Specimen_001_C19_C19_057.fcs	6673	4882
C20	G04_A3_H09_2	SC37_B	Specimen_001_C20_C20_058.fcs	5923	4641
C21	A05_A1.1_A08_2	SC37_A	Specimen_001_C21_C21_059.fcs	4683	707
C22	A05_A1.1_A08_2	SC37_B	Specimen_001_C22_C22_060.fcs	3545	407
C23	C05_A1.1_A09_1	SC37_A	Specimen_003_C23_C23_357.fcs	5148	1210
C24	C05_A1.1_A09_1	SC37_B	Specimen_003_C24_C24_358.fcs	4889	1338
D01	C02_A3_A03_1	lowP_A	Specimen_002_D1_D01_327.fcs	7708	5303
D02	C02_A3_A03_1	lowP_B	Specimen_002_D2_D02_328.fcs	7550	5156
D03	F02_A1.1_A11_2	lowP_A	Specimen_001_D3_D03_061.fcs	6082	2673
D04	F02_A1.1_A11_2	lowP_B	Specimen_001_D4_D04_062.fcs	6468	3012
D05	A03_A1.1_A12_2	lowP_A	Specimen_001_D5_D05_063.fcs	6147	1804
D06	A03_A1.1_A12_2	lowP_B	Specimen_001_D6_D06_064.fcs	6718	1795
D07	C03_A3_H11_2	lowP_A	Specimen_001_D7_D07_065.fcs	5538	3953
D08	C03_A3_H11_2	lowP_B	Specimen_001_D8_D08_066.fcs	5620	3988
D09	E03_A3_H03_2	lowP_A	Specimen_001_D9_D09_067.fcs	6971	4090
D10	E03_A3_H03_2	lowP_B	Specimen_001_D10_D10_068.fcs	6123	3685
D11	G03_A1.1_B12_2	lowP_A	Specimen_001_D11_D11_069.fcs	5853	2266
