well_id	sample_id	fact	name_long	cells	dark
A01	BLANK	SC37_A	Specimen_002_A1_A01_321.fcs	12	3
A02	BLANK	SC37_B	Specimen_002_A2_A02_322.fcs	4	2
A03	F02_A1.1_A11_1	SC37_A	Specimen_001_A3_A03_001.fcs	6900	2737
A04	F02_A1.1_A11_1	SC37_B	Specimen_001_A4_A04_002.fcs	4979	2111
A05	A03_A1.1_A12_1	SC37_A	Specimen_001_A5_A05_003.fcs	6343	2496
A06	A03_A1.1_A12_1	SC37_B	Specimen_001_A6_A06_004.fcs	5252	2316
A07	C03_A3_H11_1	SC37_A	Specimen_001_A7_A07_005.fcs	6606	5549
A08	C03_A3_H11_1	SC37_B	Specimen_001_A8_A08_006.fcs	7218	6058
A09	E03_A3_H03_1	SC37_A	Specimen_001_A9_A09_007.fcs	8445	6455
A10	E03_A3_H03_1	SC37_B	Specimen_001_A10_A10_008.fcs	6855	5447
A11	G03_A1.1_B12_1	SC37_A	Specimen_001_A11_A11_009.fcs	4993	2620
A12	G03_A1.1_B12_1	SC37_B	Specimen_001_A12_A12_010.fcs	5292	2974
A13	A04_A3_G12_1	SC37_A	Specimen_001_A13_A13_011.fcs	6841	5716
A14	A04_A3_G12_1	SC37_B	Specimen_001_A14_A14_012.fcs	6734	5213
A15	C04_A3_H02_1	SC37_A	Specimen_001_A15_A15_013.fcs	7436	6280
A16	C04_A3_H02_1	SC37_B	Specimen_001_A16_A16_014.fcs	7727	6290
A17	E04_A3_G01_1	SC37_A	Specimen_001_A17_A17_015.fcs	7414	6234
A18	E04_A3_G01_1	SC37_B	Specimen_001_A18_A18_016.fcs	8167	6949
A19	G04_A3_H09_1	SC37_A	Specimen_001_A19_A19_017.fcs	6261	5241
A20	G04_A3_H09_1	SC37_B	Specimen_001_A20_A20_018.fcs	8758	7111
A21	A05_A1.1_A08_1	SC37_A	Specimen_001_A21_A21_019.fcs	6663	1900
A22	A05_A1.1_A08_1	SC37_B	Specimen_001_A22_A22_020.fcs	4318	1543
A23	REF	SC37_A	Specimen_003_A23_A23_353.fcs	7765	565
A24	REF	SC37_B	Specimen_003_A24_A24_354.fcs	4985	446
B01	BLANK	lowP_A	Specimen_002_B1_B01_323.fcs	4	3
B02	BLANK	lowP_B	Specimen_002_B2_B02_324.fcs	8	6
B03	F02_A1.1_A11_1	lowP_A	Specimen_001_B3_B03_021.fcs	4288	2333
B04	F02_A1.1_A11_1	lowP_B	Specimen_001_B4_B04_022.fcs	4271	2355
B05	A03_A1.1_A12_1	lowP_A	Specimen_001_B5_B05_023.fcs	4761	2732
B06	A03_A1.1_A12_1	lowP_B	Specimen_001_B6_B06_024.fcs	4380	2461
B07	C03_A3_H11_1	lowP_A	Specimen_001_B7_B07_025.fcs	4847	3528
B08	C03_A3_H11_1	lowP_B	Specimen_001_B8_B08_026.fcs	4764	3678
B09	E03_A3_H03_1	lowP_A	Specimen_001_B9_B09_027.fcs	6037	4224
B10	E03_A3_H03_1	lowP_B	Specimen_001_B10_B10_028.fcs	6211	4668
B11	G03_A1.1_B12_1	lowP_A	Specimen_001_B11_B11_029.fcs	6219	4407
B12	G03_A1.1_B12_1	lowP_B	Specimen_001_B12_B12_030.fcs	5643	4027
B13	A04_A3_G12_1	lowP_A	Specimen_001_B13_B13_031.fcs	5058	3876
B14	A04_A3_G12_1	lowP_B	Specimen_001_B14_B14_032.fcs	5379	4162
B15	C04_A3_H02_1	lowP_A	Specimen_001_B15_B15_033.fcs	5096	3772
B16	C04_A3_H02_1	lowP_B	Specimen_001_B16_B16_034.fcs	4573	3368
B17	E04_A3_G01_1	lowP_A	Specimen_001_B17_B17_035.fcs	4817	3770
B18	E04_A3_G01_1	lowP_B	Specimen_001_B18_B18_036.fcs	3913	3075
B19	G04_A3_H09_1	lowP_A	Specimen_001_B19_B19_037.fcs	5005	3810
B20	G04_A3_H09_1	lowP_B	Specimen_001_B20_B20_038.fcs	3996	3138
B21	A05_A1.1_A08_1	lowP_A	Specimen_001_B21_B21_039.fcs	6176	4812
B22	A05_A1.1_A08_1	lowP_B	Specimen_001_B22_B22_040.fcs	4942	3875
B23	REF	lowP_A	Specimen_003_B23_B23_355.fcs	7940	12
B24	REF	lowP_B	Specimen_003_B24_B24_356.fcs	7543	2
C01	C02_A3_A03_1	SC37_A	Specimen_002_C1_C01_325.fcs	11310	8150
C02	C02_A3_A03_1	SC37_B	Specimen_002_C2_C02_326.fcs	11310	7993
C03	F02_A1.1_A11_2	SC37_A	Specimen_001_C3_C03_041.fcs	6034	1661
C04	F02_A1.1_A11_2	SC37_B	Specimen_001_C4_C04_042.fcs	4771	1442
C05	A03_A1.1_A12_2	SC37_A	Specimen_001_C5_C05_043.fcs	5324	2380
C06	A03_A1.1_A12_2	SC37_B	Specimen_001_C6_C06_044.fcs	5009	2512
C07	C03_A3_H11_2	SC37_A	Specimen_001_C7_C07_045.fcs	7413	6582
C08	C03_A3_H11_2	SC37_B	Specimen_001_C8_C08_046.fcs	6429	5784
C09	E03_A3_H03_2	SC37_A	Specimen_001_C9_C09_047.fcs	8102	6399
C10	E03_A3_H03_2	SC37_B	Specimen_001_C10_C10_048.fcs	7172	5668
C11	G03_A1.1_B12_2	SC37_A	Specimen_001_C11_C11_049.fcs	4233	2160
C12	G03_A1.1_B12_2	SC37_B	Specimen_001_C12_C12_050.fcs	3510	1994
C13	A04_A3_G12_2	SC37_A	Specimen_001_C13_C13_051.fcs	6474	5629
C14	A04_A3_G12_2	SC37_B	Specimen_001_C14_C14_052.fcs	7627	6290
C15	C04_A3_H02_2	SC37_A	Specimen_001_C15_C15_053.fcs	5202	4404
C16	C04_A3_H02_2	SC37_B	Specimen_001_C16_C16_054.fcs	7319	6056
C17	E04_A3_G01_2	SC37_A	Specimen_001_C17_C17_055.fcs	6299	5339
C18	E04_A3_G01_2	SC37_B	Specimen_001_C18_C18_056.fcs	8648	7209
C19	G04_A3_H09_2	SC37_A	Specimen_001_C19_C19_057.fcs	7242	6152
C20	G04_A3_H09_2	SC37_B	Specimen_001_C20_C20_058.fcs	6785	5704
C21	A05_A1.1_A08_2	SC37_A	Specimen_001_C21_C21_059.fcs	5178	2281
C22	A05_A1.1_A08_2	SC37_B	Specimen_001_C22_C22_060.fcs	4583	2487
C23	C05_A1.1_A09_1	SC37_A	Specimen_003_C23_C23_357.fcs	7681	4253
C24	C05_A1.1_A09_1	SC37_B	Specimen_003_C24_C24_358.fcs	6341	3581
D01	C02_A3_A03_1	lowP_A	Specimen_002_D1_D01_327.fcs	7412	6087
D02	C02_A3_A03_1	lowP_B	Specimen_002_D2_D02_328.fcs	7623	6342
D03	F02_A1.1_A11_2	lowP_A	Specimen_001_D3_D03_061.fcs	5800	3858
D04	F02_A1.1_A11_2	lowP_B	Specimen_001_D4_D04_062.fcs	5647	3839
D05	A03_A1.1_A12_2	lowP_A	Specimen_001_D5_D05_063.fcs	4928	3112
