well_id	sample_id	fact	name_long	cells	dark
A01	BLANK	YPD_A	Specimen_001_A1_A01.fcs	12	12
A02	BLANK	YPD_B	Specimen_001_A2_A02.fcs	39	23
A03	F02_A1.1_A11_1	YPD_A	Specimen_001_A3_A03.fcs	22500	6001
A04	F02_A1.1_A11_1	YPD_B	Specimen_001_A4_A04.fcs	17202	4343
A05	A03_A1.1_A12_1	YPD_A	Specimen_001_A5_A05.fcs	21808	4532
A06	A03_A1.1_A12_1	YPD_B	Specimen_001_A6_A06.fcs	17813	3886
A07	C03_A3_H11_1	YPD_A	Specimen_001_A7_A07.fcs	22500	9828
A08	C03_A3_H11_1	YPD_B	Specimen_001_A8_A08.fcs	17907	8119
A09	E03_A3_H03_1	YPD_A	Specimen_001_A9_A09.fcs	22500	9394
A10	E03_A3_H03_1	YPD_B	Specimen_001_A10_A10.fcs	20492	8727
A11	G03_A1.1_B12_1	YPD_A	Specimen_001_A11_A11.fcs	19881	6475
A12	G03_A1.1_B12_1	YPD_B	Specimen_001_A12_A12.fcs	18377	5706
A13	A04_A3_G12_1	YPD_A	Specimen_001_A13_A13.fcs	22500	9258
A14	A04_A3_G12_1	YPD_B	Specimen_001_A14_A14.fcs	22500	9266
A15	C04_A3_H02_1	YPD_A	Specimen_001_A15_A15.fcs	22500	9913
A16	C04_A3_H02_1	YPD_B	Specimen_001_A16_A16.fcs	20586	8798
A17	E04_A3_G01_1	YPD_A	Specimen_001_A17_A17.fcs	22500	10578
A18	E04_A3_G01_1	YPD_B	Specimen_001_A18_A18.fcs	22500	10561
A19	G04_A3_H09_1	YPD_A	Specimen_001_A19_A19.fcs	22500	9576
A20	G04_A3_H09_1	YPD_B	Specimen_001_A20_A20.fcs	21338	8909
A21	A05_A1.1_A08_1	YPD_A	Specimen_001_A21_A21.fcs	22500	9981
A22	A05_A1.1_A08_1	YPD_B	Specimen_001_A22_A22.fcs	22466	10036
A23	REF	YPD_A	Specimen_001_A23_A23.fcs	17719	794
A24	REF	YPD_B	Specimen_001_A24_A24.fcs	15792	516
B01	BLANK	SC_A	Specimen_001_B1_B01.fcs	20	7
B02	BLANK	SC_B	Specimen_001_B2_B02.fcs	8	8
B03	F02_A1.1_A11_1	SC_A	Specimen_001_B3_B03.fcs	17108	1541
B04	F02_A1.1_A11_1	SC_B	Specimen_001_B4_B04.fcs	17766	1630
B05	A03_A1.1_A12_1	SC_A	Specimen_001_B5_B05.fcs	16168	1213
B06	A03_A1.1_A12_1	SC_B	Specimen_001_B6_B06.fcs	16826	1152
B07	C03_A3_H11_1	SC_A	Specimen_001_B7_B07.fcs	13630	4360
B08	C03_A3_H11_1	SC_B	Specimen_001_B8_B08.fcs	15322	4946
B09	E03_A3_H03_1	SC_A	Specimen_001_B9_B09.fcs	14194	3372
B10	E03_A3_H03_1	SC_B	Specimen_001_B10_B10.fcs	14993	3569
B11	G03_A1.1_B12_1	SC_A	Specimen_001_B11_B11.fcs	13125	1507
B12	G03_A1.1_B12_1	SC_B	Specimen_001_B12_B12.fcs	14194	2674
B13	A04_A3_G12_1	SC_A	Specimen_001_B13_B13.fcs	14476	3671
B14	A04_A3_G12_1	SC_B	Specimen_001_B14_B14.fcs	15463	4397
B15	C04_A3_H02_1	SC_A	Specimen_001_B15_B15.fcs	13395	4169
B16	C04_A3_H02_1	SC_B	Specimen_001_B16_B16.fcs	15322	4142
B17	E04_A3_G01_1	SC_A	Specimen_001_B17_B17.fcs	13113	4201
B18	E04_A3_G01_1	SC_B	Specimen_001_B18_B18.fcs	13301	3980
B19	G04_A3_H09_1	SC_A	Specimen_001_B19_B19.fcs	12925	4107
B20	G04_A3_H09_1	SC_B	Specimen_001_B20_B20.fcs	16262	5268
B21	A05_A1.1_A08_1	SC_A	Specimen_001_B21_B21.fcs	15416	4515
B22	A05_A1.1_A08_1	SC_B	Specimen_001_B22_B22.fcs	17202	5141
B23	REF	SC_A	Specimen_001_B23_B23.fcs	16497	441
B24	REF	SC_B	Specimen_001_B24_B24.fcs	22500	3502
C01	C02_A3_A03_1	YPD_A	Specimen_001_C1_C01.fcs	22500	9141
C02	C02_A3_A03_1	YPD_B	Specimen_001_C2_C02.fcs	22500	9163
C03	F02_A1.1_A11_2	YPD_A	Specimen_001_C3_C03.fcs	21056	6813
C04	F02_A1.1_A11_2	YPD_B	Specimen_001_C4_C04.fcs	18048	6165
C05	A03_A1.1_A12_2	YPD_A	Specimen_001_C5_C05.fcs	22500	6579
C06	A03_A1.1_A12_2	YPD_B	Specimen_001_C6_C06.fcs	18330	5228
C07	C03_A3_H11_2	YPD_A	Specimen_001_C7_C07.fcs	21714	10831
C08	C03_A3_H11_2	YPD_B	Specimen_001_C8_C08.fcs	19082	9760
C09	E03_A3_H03_2	YPD_A	Specimen_001_C9_C09.fcs	22500	9740
C10	E03_A3_H03_2	YPD_B	Specimen_001_C10_C10.fcs	19082	8354
C11	G03_A1.1_B12_2	YPD_A	Specimen_001_C11_C11.fcs	17249	5455
C12	G03_A1.1_B12_2	YPD_B	Specimen_001_C12_C12.fcs	17484	5291
