Name	Statistic	Cells
Specimen_001_B17_B17.fcs/cells/mCherry	88.3	10833
Specimen_001_B18_B18.fcs		14706
Specimen_001_B18_B18.fcs/cells	99.8	14680
Specimen_001_B18_B18.fcs/cells/mCherry	86.6	12709
Specimen_001_B19_B19.fcs		12426
Specimen_001_B19_B19.fcs/cells	99.8	12402
Specimen_001_B19_B19.fcs/cells/mCherry	90.5	11218
Specimen_001_B20_B20.fcs		12597
Specimen_001_B20_B20.fcs/cells	99.7	12560
Specimen_001_B20_B20.fcs/cells/mCherry	88.7	11136
Specimen_001_B21_B21.fcs		13281
Specimen_001_B21_B21.fcs/cells	99.7	13247
Specimen_001_B21_B21.fcs/cells/mCherry	95.2	12611
Specimen_001_B22_B22.fcs		15105
Specimen_001_B22_B22.fcs/cells	99.8	15071
Specimen_001_B22_B22.fcs/cells/mCherry	94	14169
Specimen_001_B23_B23.fcs		14250
Specimen_001_B23_B23.fcs/cells	99.7	14211
Specimen_001_B23_B23.fcs/cells/mCherry	97.6	13873
Specimen_001_B24_B24.fcs		15903
Specimen_001_B24_B24.fcs/cells	99.7	15861
Specimen_001_B24_B24.fcs/cells/mCherry	96.9	15365
Specimen_001_C1_C01.fcs		14421
Specimen_001_C1_C01.fcs/cells	99.7	14381
Specimen_001_C1_C01.fcs/cells/mCherry	94.5	13596
Specimen_001_C2_C02.fcs		12711
Specimen_001_C2_C02.fcs/cells	99.7	12667
Specimen_001_C2_C02.fcs/cells/mCherry	94.4	11963
Specimen_001_C3_C03.fcs		16188
Specimen_001_C3_C03.fcs/cells	99.7	16145
Specimen_001_C3_C03.fcs/cells/mCherry	75	12113
Specimen_001_C4_C04.fcs		12027
Specimen_001_C4_C04.fcs/cells	99.8	11999
Specimen_001_C4_C04.fcs/cells/mCherry	67.5	8097
Specimen_001_C5_C05.fcs		15960
Specimen_001_C5_C05.fcs/cells	99.7	15914
Specimen_001_C5_C05.fcs/cells/mCherry	67.9	10810
Specimen_001_C6_C06.fcs		14136
Specimen_001_C6_C06.fcs/cells	99.8	14104
Specimen_001_C6_C06.fcs/cells/mCherry	62.7	8846
Specimen_001_C7_C07.fcs		13110
Specimen_001_C7_C07.fcs/cells	99.7	13077
Specimen_001_C7_C07.fcs/cells/mCherry	75.2	9838
Specimen_001_C8_C08.fcs		13566
Specimen_001_C8_C08.fcs/cells	99.7	13528
Specimen_001_C8_C08.fcs/cells/mCherry	66.7	9027
Specimen_001_C9_C09.fcs		10887
Specimen_001_C9_C09.fcs/cells	99.8	10862
Specimen_001_C9_C09.fcs/cells/mCherry	64.8	7035
Specimen_001_C10_C10.fcs		11115
Specimen_001_C10_C10.fcs/cells	99.8	11092
Specimen_001_C10_C10.fcs/cells/mCherry	57.1	6338
Specimen_001_C11_C11.fcs		12141
Specimen_001_C11_C11.fcs/cells	99.5	12075
Specimen_001_C11_C11.fcs/cells/mCherry	90.9	10981
Specimen_001_C12_C12.fcs		10545
Specimen_001_C12_C12.fcs/cells	99.5	10494
Specimen_001_C12_C12.fcs/cells/mCherry	89.6	9401
Specimen_001_C13_C13.fcs		8861
Specimen_001_C13_C13.fcs/cells	99.5	8821
Specimen_001_C13_C13.fcs/cells/mCherry	85.9	7575
Specimen_001_C14_C14.fcs		9747
Specimen_001_C14_C14.fcs/cells	99.5	9703
Specimen_001_C14_C14.fcs/cells/mCherry	84.3	8182
Specimen_001_C15_C15.fcs		9234
Specimen_001_C15_C15.fcs/cells	99.5	9187
Specimen_001_C15_C15.fcs/cells/mCherry	90.6	8322
Specimen_001_C16_C16.fcs		7751
Specimen_001_C16_C16.fcs/cells	99.8	7732
Specimen_001_C16_C16.fcs/cells/mCherry	88.7	6862
Specimen_001_C17_C17.fcs		10830
Specimen_001_C17_C17.fcs/cells	99.6	10791
Specimen_001_C17_C17.fcs/cells/mCherry	87.8	9479
Specimen_001_C18_C18.fcs		9747
Specimen_001_C18_C18.fcs/cells	99.5	9700
Specimen_001_C18_C18.fcs/cells/mCherry	86.7	8408
Specimen_001_C19_C19.fcs		10089
Specimen_001_C19_C19.fcs/cells	99.7	10055
Specimen_001_C19_C19.fcs/cells/mCherry	88.3	8881
Specimen_001_C20_C20.fcs		9633
Specimen_001_C20_C20.fcs/cells	99.8	9612
Specimen_001_C20_C20.fcs/cells/mCherry	86.9	8356
Specimen_001_C21_C21.fcs		12597
Specimen_001_C21_C21.fcs/cells	99.8	12569
Specimen_001_C21_C21.fcs/cells/mCherry	79	9925
Specimen_001_C22_C22.fcs		11400
Specimen_001_C22_C22.fcs/cells	99.8	11372
Specimen_001_C22_C22.fcs/cells/mCherry	74.8	8508
Specimen_001_C23_C23.fcs		11799
Specimen_001_C23_C23.fcs/cells	99.7	11759
Specimen_001_C23_C23.fcs/cells/mCherry	94.5	11118
Specimen_001_C24_C24.fcs		11115
