Name	Statistic	Cells
Specimen_001_A1_A01.fcs		3
Specimen_001_A1_A01.fcs/mCherry	33.3	1
Specimen_001_A3_A03.fcs		2022
Specimen_001_A3_A03.fcs/mCherry	94.7	1914
Specimen_001_A4_A04.fcs		2299
Specimen_001_A4_A04.fcs/mCherry	98.3	2259
Specimen_001_A5_A05.fcs		17012
Specimen_001_A5_A05.fcs/mCherry	17	2890
Specimen_001_A6_A06.fcs		21714
Specimen_001_A6_A06.fcs/mCherry	19.3	4191
Specimen_001_A7_A07.fcs		20163
Specimen_001_A7_A07.fcs/mCherry	14.2	2867
Specimen_001_A8_A08.fcs		18847
Specimen_001_A8_A08.fcs/mCherry	13.3	2509
Specimen_001_A9_A09.fcs		16873
Specimen_001_A9_A09.fcs/mCherry	23.4	3953
Specimen_001_A10_A10.fcs		15980
Specimen_001_A10_A10.fcs/mCherry	23.1	3695
Specimen_001_A11_A11.fcs		16074
Specimen_001_A11_A11.fcs/mCherry	15.5	2496
Specimen_001_A12_A12.fcs		15698
Specimen_001_A12_A12.fcs/mCherry	11.8	1858
Specimen_001_A13_A13.fcs		16638
Specimen_001_A13_A13.fcs/mCherry	17.4	2895
Specimen_001_A14_A14.fcs		16356
Specimen_001_A14_A14.fcs/mCherry	13.9	2268
Specimen_001_A15_A15.fcs		14899
Specimen_001_A15_A15.fcs/mCherry	15.4	2297
Specimen_001_A16_A16.fcs		15933
Specimen_001_A16_A16.fcs/mCherry	21.8	3470
Specimen_001_A17_A17.fcs		19176
Specimen_001_A17_A17.fcs/mCherry	13.8	2649
Specimen_001_A18_A18.fcs		18565
Specimen_001_A18_A18.fcs/mCherry	13.4	2485
Specimen_001_A19_A19.fcs		20586
Specimen_001_A19_A19.fcs/mCherry	20.3	4175
Specimen_001_A20_A20.fcs		18800
Specimen_001_A20_A20.fcs/mCherry	12.8	2399
Specimen_001_A21_A21.fcs		3325
Specimen_001_A21_A21.fcs/mCherry	99.2	3299
Specimen_001_A22_A22.fcs		2112
Specimen_001_A22_A22.fcs/mCherry	99.8	2107
Specimen_001_B3_B03.fcs		17531
Specimen_001_B3_B03.fcs/mCherry	97.6	17106
Specimen_001_B4_B04.fcs		20915
Specimen_001_B4_B04.fcs/mCherry	97.7	20425
Specimen_001_B5_B05.fcs		17014
Specimen_001_B5_B05.fcs/mCherry	92.2	15687
Specimen_001_B6_B06.fcs		18048
Specimen_001_B6_B06.fcs/mCherry	92.2	16640
Specimen_001_B7_B07.fcs		14805
Specimen_001_B7_B07.fcs/mCherry	82.1	12149
Specimen_001_B8_B08.fcs		16450
Specimen_001_B8_B08.fcs/mCherry	82.6	13582
Specimen_001_B9_B09.fcs		14288
Specimen_001_B9_B09.fcs/mCherry	85.9	12271
Specimen_001_B10_B10.fcs		17202
Specimen_001_B10_B10.fcs/mCherry	86.8	14925
Specimen_001_B11_B11.fcs		13677
Specimen_001_B11_B11.fcs/mCherry	80.9	11066
Specimen_001_B12_B12.fcs		17390
Specimen_001_B12_B12.fcs/mCherry	82.8	14395
Specimen_001_B13_B13.fcs		13630
Specimen_001_B13_B13.fcs/mCherry	83.4	11370
Specimen_001_B14_B14.fcs		16685
Specimen_001_B14_B14.fcs/mCherry	84.3	14058
Specimen_001_B15_B15.fcs		14711
Specimen_001_B15_B15.fcs/mCherry	86.6	12743
Specimen_001_B16_B16.fcs		17766
Specimen_001_B16_B16.fcs/mCherry	87.2	15489
Specimen_001_B17_B17.fcs		14241
Specimen_001_B17_B17.fcs/mCherry	82.2	11703
Specimen_001_B18_B18.fcs		17625
Specimen_001_B18_B18.fcs/mCherry	84.2	14838
Specimen_001_B19_B19.fcs		14946
Specimen_001_B19_B19.fcs/mCherry	91.4	13666
Specimen_001_B20_B20.fcs		18659
Specimen_001_B20_B20.fcs/mCherry	91.4	17062
Specimen_001_B21_B21.fcs		18142
Specimen_001_B21_B21.fcs/mCherry	97.7	17722
Specimen_001_B22_B22.fcs		21291
Specimen_001_B22_B22.fcs/mCherry	91.5	19481
Specimen_001_C3_C03.fcs		7753
Specimen_001_C3_C03.fcs/mCherry	59.2	4586
Specimen_001_C4_C04.fcs		7425
Specimen_001_C4_C04.fcs/mCherry	60.3	4475
Specimen_001_C5_C05.fcs		17437
Specimen_001_C5_C05.fcs/mCherry	13.3	2325
Specimen_001_C6_C06.fcs		16873
Specimen_001_C6_C06.fcs/mCherry	14.1	2383
Specimen_001_C7_C07.fcs		16356
Specimen_001_C7_C07.fcs/mCherry	26.4	4313
Specimen_001_C8_C08.fcs		14617
Specimen_001_C8_C08.fcs/mCherry	21.6	3163
Specimen_001_C9_C09.fcs		16779
Specimen_001_C9_C09.fcs/mCherry	20.9	3500
Specimen_001_C10_C10.fcs		14711
Specimen_001_C10_C10.fcs/mCherry	15.3	2252
Specimen_001_C11_C11.fcs		7567
Specimen_001_C11_C11.fcs/mCherry	99.6	7537
Specimen_001_C12_C12.fcs		4372
Specimen_001_C12_C12.fcs/mCherry	99.8	4364
Specimen_001_C13_C13.fcs		7802
Specimen_001_C13_C13.fcs/mCherry	99.7	7777
Specimen_001_C14_C14.fcs		3856
Specimen_001_C14_C14.fcs/mCherry	99.9	3851
Specimen_001_C15_C15.fcs		16638
Specimen_001_C15_C15.fcs/mCherry	21	3497
Specimen_001_C16_C16.fcs		15980
Specimen_001_C16_C16.fcs/mCherry	19.6	3125
Specimen_001_C17_C17.fcs		15792
Specimen_001_C17_C17.fcs/mCherry	23.7	3749
Specimen_001_C18_C18.fcs		14382
Specimen_001_C18_C18.fcs/mCherry	23.8	3424
Specimen_001_C19_C19.fcs		17672
Specimen_001_C19_C19.fcs/mCherry	13.8	2445
Specimen_001_C20_C20.fcs		16732
Specimen_001_C20_C20.fcs/mCherry	12.9	2153
Specimen_001_C21_C21.fcs		7095
Specimen_001_C21_C21.fcs/mCherry	65.3	4634
Specimen_001_C22_C22.fcs		5433
Specimen_001_C22_C22.fcs/mCherry	59.1	3213
Specimen_001_D3_D03.fcs		17249
Specimen_001_D3_D03.fcs/mCherry	95.8	16518
Specimen_001_D4_D04.fcs		15792
Specimen_001_D4_D04.fcs/mCherry	95.9	15148
Specimen_001_D5_D05.fcs		14241
Specimen_001_D5_D05.fcs/mCherry	84.6	12041
Specimen_001_D6_D06.fcs		11609
Specimen_001_D6_D06.fcs/mCherry	84.3	9786
Specimen_001_D7_D07.fcs		13301
Specimen_001_D7_D07.fcs/mCherry	88.5	11765
Specimen_001_D8_D08.fcs		8554
Specimen_001_D8_D08.fcs/mCherry	89.1	7621
Specimen_001_D9_D09.fcs		14570
Specimen_001_D9_D09.fcs/mCherry	90.4	13169
Specimen_001_D10_D10.fcs		7802
Specimen_001_D10_D10.fcs/mCherry	88.7	6919
Specimen_001_D11_D11.fcs		16262
Specimen_001_D11_D11.fcs/mCherry	96.7	15718
Specimen_001_D12_D12.fcs		17155
Specimen_001_D12_D12.fcs/mCherry	97.4	16701
Specimen_001_D13_D13.fcs		14617
Specimen_001_D13_D13.fcs/mCherry	96.9	14168
Specimen_001_D14_D14.fcs		14899
Specimen_001_D14_D14.fcs/mCherry	97.5	14522
Specimen_001_D15_D15.fcs		13442
Specimen_001_D15_D15.fcs/mCherry	88.3	11865
Specimen_001_D16_D16.fcs		14194
Specimen_001_D16_D16.fcs/mCherry	89.9	12758
Specimen_001_D17_D17.fcs		14993
Specimen_001_D17_D17.fcs/mCherry	87.8	13160
Specimen_001_D18_D18.fcs		14899
Specimen_001_D18_D18.fcs/mCherry	87.9	13098
Specimen_001_D19_D19.fcs		14993
Specimen_001_D19_D19.fcs/mCherry	85.8	12863
Specimen_001_D20_D20.fcs		13442
Specimen_001_D20_D20.fcs/mCherry	84.4	11350
Specimen_001_D21_D21.fcs		16262
Specimen_001_D21_D21.fcs/mCherry	96.1	15624
Specimen_001_D22_D22.fcs		16967
Specimen_001_D22_D22.fcs/mCherry	95.8	16249
Specimen_001_E3_E03.fcs		18142
Specimen_001_E3_E03.fcs/mCherry	14.2	2570
Specimen_001_E4_E04.fcs		17719
Specimen_001_E4_E04.fcs/mCherry	15.7	2784
Specimen_001_E5_E05.fcs		16309
Specimen_001_E5_E05.fcs/mCherry	11.5	1883
