well_id	sample_id	fact	name_long	cells	dark
A01	BLANK	YPD_A	Specimen_001_A1_A01.fcs	210	36
A02	BLANK	YPD_B	Specimen_001_A2_A02.fcs	8	8
A03	F02_A1.1_A11_1	YPD_A	Specimen_001_A3_A03.fcs	21291	10754
A04	F02_A1.1_A11_1	YPD_B	Specimen_001_A4_A04.fcs	17719	8876
A05	A03_A1.1_A12_1	YPD_A	Specimen_001_A5_A05.fcs	21761	9999
A06	A03_A1.1_A12_1	YPD_B	Specimen_001_A6_A06.fcs	19270	9069
A07	C03_A3_H11_1	YPD_A	Specimen_001_A7_A07.fcs	17155	10682
A08	C03_A3_H11_1	YPD_B	Specimen_001_A8_A08.fcs	20210	12822
A09	E03_A3_H03_1	YPD_A	Specimen_001_A9_A09.fcs	19115	11509
A10	E03_A3_H03_1	YPD_B	Specimen_001_A10_A10.fcs	22419	13630
A11	G03_A1.1_B12_1	YPD_A	Specimen_001_A11_A11.fcs	18236	10068
A12	G03_A1.1_B12_1	YPD_B	Specimen_001_A12_A12.fcs	20680	11513
A13	A04_A3_G12_1	YPD_A	Specimen_001_A13_A13.fcs	19364	11552
A14	A04_A3_G12_1	YPD_B	Specimen_001_A14_A14.fcs	21197	13073
A15	C04_A3_H02_1	YPD_A	Specimen_001_A15_A15.fcs	19411	11921
A16	C04_A3_H02_1	YPD_B	Specimen_001_A16_A16.fcs	20680	12905
A17	E04_A3_G01_1	YPD_A	Specimen_001_A17_A17.fcs	20586	13828
A18	E04_A3_G01_1	YPD_B	Specimen_001_A18_A18.fcs	19176	12492
A19	G04_A3_H09_1	YPD_A	Specimen_001_A19_A19.fcs	17719	11256
A20	G04_A3_H09_1	YPD_B	Specimen_001_A20_A20.fcs	19928	12580
A21	A05_A1.1_A08_1	YPD_A	Specimen_001_A21_A21.fcs	19317	13172
A22	A05_A1.1_A08_1	YPD_B	Specimen_001_A22_A22.fcs	18189	12399
A23	REF	YPD_A	Specimen_001_A23_A23.fcs	22500	678
A24	REF	YPD_B	Specimen_001_A24_A24.fcs	12894	580
B01	BLANK	SC_A	Specimen_001_B1_B01.fcs	23	8
B02	BLANK	SC_B	Specimen_001_B2_B02.fcs	9	9
B03	F02_A1.1_A11_1	SC_A	Specimen_001_B3_B03.fcs	13630	4030
B04	F02_A1.1_A11_1	SC_B	Specimen_001_B4_B04.fcs	12502	4608
B05	A03_A1.1_A12_1	SC_A	Specimen_001_B5_B05.fcs	16685	4335
B06	A03_A1.1_A12_1	SC_B	Specimen_001_B6_B06.fcs	13536	3776
B07	C03_A3_H11_1	SC_A	Specimen_001_B7_B07.fcs	14523	7292
B08	C03_A3_H11_1	SC_B	Specimen_001_B8_B08.fcs	12267	6353
B09	E03_A3_H03_1	SC_A	Specimen_001_B9_B09.fcs	18847	8927
B10	E03_A3_H03_1	SC_B	Specimen_001_B10_B10.fcs	14288	6802
B11	G03_A1.1_B12_1	SC_A	Specimen_001_B11_B11.fcs	16873	7165
B12	G03_A1.1_B12_1	SC_B	Specimen_001_B12_B12.fcs	15087	6422
B13	A04_A3_G12_1	SC_A	Specimen_001_B13_B13.fcs	16732	7920
B14	A04_A3_G12_1	SC_B	Specimen_001_B14_B14.fcs	13623	6218
B15	C04_A3_H02_1	SC_A	Specimen_001_B15_B15.fcs	17296	8850
B16	C04_A3_H02_1	SC_B	Specimen_001_B16_B16.fcs	15651	7806
B17	E04_A3_G01_1	SC_A	Specimen_001_B17_B17.fcs	15416	7798
B18	E04_A3_G01_1	SC_B	Specimen_001_B18_B18.fcs	12549	6464
B19	G04_A3_H09_1	SC_A	Specimen_001_B19_B19.fcs	13163	7028
