well_id	well_id_96	well_id_96_no0	plate_id	F1_AP	F1_F1	F1_ID	F1	BLOCK_ID	PAR_ID	IS_ANC	AP1_ID	SEX	strain_id	parent
K01	F01	F1	plate1	A08	B01	C04_B01	1	1			C04_A3_H02_1	SEX	C04_B01	C04
K03	F02	F2	plate1	A08	B02	C04_B02	1	1			C04_A3_H02_1	SEX	C04_B02	C04
K05	F03	F3	plate1	A08	B03	C04_B03	1	1			C04_A3_H02_1	SEX	C04_B03	C04
K07	F04	F4	plate1	A08	B04	C04_B04	1	1			C04_A3_H02_1	SEX	C04_B04	C04
K09	F05	F5	plate1	A08	B05	C04_B05	1	1			C04_A3_H02_1	SEX	C04_B05	C04
K11	F06	F6	plate1	A08	B06	C04_B06	1	1			C04_A3_H02_1	SEX	C04_B06	C04
K13	F07	F7	plate1	A08	B07	C04_B07	1	1			C04_A3_H02_1	SEX	C04_B07	C04
K15	F08	F8	plate1	A08	B08	C04_B08	1	1			C04_A3_H02_1	SEX	C04_B08	C04
K17	F09	F9	plate1			D04_	0	1	E08		D04_A1.1_H06_1	ASEX	D04	D04
K19	F10	F10	plate1			F04_	0	1	E09		F04_A3_B01_1	SEX	F04	F04
K21	F11	F11	plate1			F06_	0	1	C10		F06_A3_A11_1	SEX	F06	F06
K23	F12	F12	plate1			B05_	0	1	E11		B05_A1.1_G01_1	ASEX	B05	B05
M01	G01	G1	plate1	E08	B01	D04_B01	1	1			D04_A1.1_H06_1	ASEX	D04_B01	D04
M03	G02	G2	plate1	E08	B02	D04_B02	1	1			D04_A1.1_H06_1	ASEX	D04_B02	D04
M05	G03	G3	plate1	E08	B03	D04_B03	1	1			D04_A1.1_H06_1	ASEX	D04_B03	D04
M07	G04	G4	plate1	E08	B04	D04_B04	1	1			D04_A1.1_H06_1	ASEX	D04_B04	D04
M09	G05	G5	plate1	E08	B05	D04_B05	1	1			D04_A1.1_H06_1	ASEX	D04_B05	D04
M11	G06	G6	plate1	E08	B06	D04_B06	1	1			D04_A1.1_H06_1	ASEX	D04_B06	D04
M13	G07	G7	plate1	E08	B07	D04_B07	1	1			D04_A1.1_H06_1	ASEX	D04_B07	D04
M15	G08	G8	plate1	E08	B08	D04_B08	1	1			D04_A1.1_H06_1	ASEX	D04_B08	D04
M17	G09	G9	plate1			E04_	0	1	A09		E04_A3_G01_1	SEX	E04	E04
M19	G10	G10	plate1			G04_	0	1	A10		G04_A3_H09_1	SEX	G04	G04
M21	G11	G11	plate1			H04_	0	1	E10		H04_A3_A02_1	SEX	H04	H04
M23	G12	G12	plate1			NA_	0	1	MJM36_D5	1	NA	NA	NA	NA
O01	H01	H1	plate1	A10	B01	G04_B01	1	1			G04_A3_H09_1	SEX	G04_B01	G04
O03	H02	H2	plate1	A10	B02	G04_B02	1	1			G04_A3_H09_1	SEX	G04_B02	G04
O05	H03	H3	plate1	A10	B03	G04_B03	1	1			G04_A3_H09_1	SEX	G04_B03	G04
O07	H04	H4	plate1	A10	B04	G04_B04	1	1			G04_A3_H09_1	SEX	G04_B04	G04
