well_id_384,well_id_96,well_id_96_no0,plate_id,96_row,96_col,kk_strain_id,F1,parent,anc,env,kk_pop_id,kk_well_id,cells_t1,test_t1,cells_t2,test_t2
A01,A01,A1,plate1,A,01,A04_a3_G12_1,1,0,0,env4,a3_G12,G12,16570,15633,15566,15479
A02,A01,A1,plate2,A,01,A06_a3_H07_1,1,0,0,env4,a3_H07,H07,10996,3381,11518,4375
A03,A02,A2,plate1,A,02,A04_a3_G12_1,1,0,0,env4,a3_G12,G12,12040,3388,13672,4804
A04,A02,A2,plate2,A,02,A06_a3_H07_1,1,0,0,env4,a3_H07,H07,11508,2691,12565,2679
A05,A03,A3,plate1,A,03,A04_a3_G12_1,1,0,0,env4,a3_G12,G12,13561,3143,14276,4471
A06,A03,A3,plate2,A,03,A06_a3_H07_1,1,0,0,env4,a3_H07,H07,4772,1806,10022,4028
A07,A04,A4,plate1,A,04,A06_a3_H07_1,1,0,0,env4,a3_H07,H07,10583,2115,12984,2579
A08,A04,A4,plate2,A,04,G03_a1.1_B12_1,1,0,0,env4,a1.1_B12,B12,9269,1841,12623,3985
A09,A05,A5,plate1,A,05,A06_a3_H07_1,1,0,0,env4,a3_H07,H07,13569,3263,12812,3923
A10,A05,A5,plate2,A,05,G03_a1.1_B12_1,1,0,0,env4,a1.1_B12,B12,12571,2731,12294,3243
A11,A06,A6,plate1,A,06,G03_a1.1_B12_1,1,0,0,env4,a1.1_B12,B12,10336,1920,12294,2515
A12,A06,A6,plate2,A,06,B04_a1.1_A02_1,1,0,0,env4,a1.1_A02,A02,8926,2375,12550,4615
A13,A07,A7,plate1,A,07,G03_a1.1_B12_1,1,0,0,env4,a1.1_B12,B12,9976,3962,10612,6603
A14,A07,A7,plate2,A,07,B04_a1.1_A02_1,1,0,0,env4,a1.1_A02,A02,7724,2079,10963,3735
A15,A08,A8,plate1,A,08,B04_a1.1_A02_1,1,0,0,env4,a1.1_A02,A02,9054,4855,11422,9205
A16,A08,A8,plate2,A,08,A04_a3_G12_1,1,0,0,env4,a3_G12,G12,10576,3474,12461,5545
A17,A09,A9,plate1,A,09,B04_a1.1_A02_1,1,0,0,env4,a1.1_A02,A02,10357,2551,12640,4085
A18,A09,A9,plate2,A,09,A04_a3_G12_1,1,0,0,env4,a3_G12,G12,9468,5631,11414,10496
A19,A10,A10,plate1,A,10,G03_a1.1_B12_1,1,0,0,env4,a1.1_B12,B12,9140,2812,12470,5595
A20,A10,A10,plate2,A,10,B04_a1.1_A02_1,1,0,0,env4,a1.1_A02,A02,9414,2072,12642,3283
A21,A11,A11,plate1,A,11,BLANK,0,1,0,env4,BLANK,BLANK,11708,11634,11951,11882
A22,A11,A11,plate2,A,11,BLANK,0,1,0,env4,BLANK,BLANK,10443,10405,10958,10899
A23,A12,A12,plate1,A,12,BLANK,0,1,0,env4,BLANK,BLANK,8806,8754,12814,12771
A24,A12,A12,plate2,A,12,BLANK,0,1,0,env4,BLANK,BLANK,10230,10189,12550,12515
B01,A01,A1,plate3,A,01,G03_a1.1_B12_1,1,0,0,env4,a1.1_B12,B12,10654,5096,10771,7485
B02,A01,A1,plate4,A,01,B04_a1.1_A02_1,1,0,0,env4,a1.1_A02,A02,9798,2799,11155,3213
B03,A02,A2,plate3,A,02,G03_a1.1_B12_1,1,0,0,env4,a1.1_B12,B12,11445,2664,10660,2747
B04,A02,A2,plate4,A,02,B04_a1.1_A02_1,1,0,0,env4,a1.1_A02,A02,9865,9816,10532,10466
B05,A03,A3,plate3,A,03,G03_a1.1_B12_1,1,0,0,env4,a1.1_B12,B12,8855,2209,11424,3300
B06,A03,A3,plate4,A,03,B04_a1.1_A02_1,1,0,0,env4,a1.1_A02,A02,9621,2374,10704,3195
B07,A04,A4,plate3,A,04,B04_a1.1_A02_1,1,0,0,env4,a1.1_A02,A02,9583,5570,9406,7248
B08,A04,A4,plate4,A,04,A04_a3_G12_1,1,0,0,env4,a3_G12,G12,9156,1354,10861,1830
B09,A05,A5,plate3,A,05,B04_a1.1_A02_1,1,0,0,env4,a1.1_A02,A02,7215,4029,8189,6459
B10,A05,A5,plate4,A,05,A04_a3_G12_1,1,0,0,env4,a3_G12,G12,10716,1560,11053,1909
B11,A06,A6,plate3,A,06,A04_a3_G12_1,1,0,0,env4,a3_G12,G12,11085,2053,9891,2204
B12,A06,A6,plate4,A,06,A06_a3_H07_1,1,0,0,env4,a3_H07,H07,8775,8712,8682,8613
B13,A07,A7,plate3,A,07,A04_a3_G12_1,1,0,0,env4,a3_G12,G12,8086,3630,8887,6129
B14,A07,A7,plate4,A,07,A06_a3_H07_1,1,0,0,env4,a3_H07,H07,8119,2062,7529,4278
B15,A08,A8,plate3,A,08,A06_a3_H07_1,1,0,0,env4,a3_H07,H07,9523,5007,9288,6769
B16,A08,A8,plate4,A,08,G03_a1.1_B12_1,1,0,0,env4,a1.1_B12,B12,10172,3021,9102,3546
B17,A09,A9,plate3,A,09,A06_a3_H07_1,1,0,0,env4,a3_H07,H07,7753,1634,7908,2234
B18,A09,A9,plate4,A,09,G03_a1.1_B12_1,1,0,0,env4,a1.1_B12,B12,9151,4360,8157,7083
B19,A10,A10,plate3,A,10,A04_a3_G12_1,1,0,0,env4,a3_G12,G12,8988,1714,10000,2735
B20,A10,A10,plate4,A,10,A06_a3_H07_1,1,0,0,env4,a3_H07,H07,7002,1394,6852,1353
B21,A11,A11,plate3,A,11,BLANK,0,1,0,env4,BLANK,BLANK,9126,9044,11013,10982
B22,A11,A11,plate4,A,11,BLANK,0,1,0,env4,BLANK,BLANK,8359,8313,8639,8605
