well_id	sample_id	fact	name_long	cells	dark
A01	BLANK	pH7.3_A	NA	NA	NA
A02	BLANK	pH7.3_B	NA	NA	NA
A03	F02_A1.1_A11_1	pH7.3_A	Specimen_001_A3_A03_001.fcs	9645	1819
A04	F02_A1.1_A11_1	pH7.3_B	Specimen_001_A4_A04_002.fcs	10247	2769
A05	A03_A1.1_A12_1	pH7.3_A	Specimen_001_A5_A05_003.fcs	14105	1621
A06	A03_A1.1_A12_1	pH7.3_B	Specimen_001_A6_A06_004.fcs	11108	1520
A07	C03_A3_H11_1	pH7.3_A	Specimen_001_A7_A07_005.fcs	12480	5384
A08	C03_A3_H11_1	pH7.3_B	Specimen_001_A8_A08_006.fcs	8355	4943
A09	E03_A3_H03_1	pH7.3_A	Specimen_001_A9_A09_007.fcs	12090	4995
A10	E03_A3_H03_1	pH7.3_B	Specimen_001_A10_A10_008.fcs	10392	5310
A11	G03_A1.1_B12_1	pH7.3_A	Specimen_001_A11_A11_009.fcs	10725	1891
A12	G03_A1.1_B12_1	pH7.3_B	Specimen_001_A12_A12_010.fcs	9940	1667
A13	A04_A3_G12_1	pH7.3_A	Specimen_001_A13_A13_011.fcs	13325	4341
A14	A04_A3_G12_1	pH7.3_B	Specimen_001_A14_A14_012.fcs	12350	4106
A15	C04_A3_H02_1	pH7.3_A	Specimen_001_A15_A15_013.fcs	10660	4694
A16	C04_A3_H02_1	pH7.3_B	Specimen_001_A16_A16_014.fcs	9667	5603
A17	E04_A3_G01_1	pH7.3_A	Specimen_001_A17_A17_015.fcs	8900	3861
A18	E04_A3_G01_1	pH7.3_B	Specimen_001_A18_A18_016.fcs	7640	4225
A19	G04_A3_H09_1	pH7.3_A	Specimen_001_A19_A19_017.fcs	8970	4182
A20	G04_A3_H09_1	pH7.3_B	Specimen_001_A20_A20_018.fcs	8256	4672
A21	A05_A1.1_A08_1	pH7.3_A	Specimen_001_A21_A21_019.fcs	14547	6409
A22	A05_A1.1_A08_1	pH7.3_B	Specimen_001_A22_A22_020.fcs	10791	5210
A23	REF	pH7.3_A	Specimen_003_A23_A23_349.fcs	13762	46
A24	REF	pH7.3_B	Specimen_003_A24_A24_350.fcs	16163	49
B01	BLANK	NaCl_A	NA	NA	NA
B02	BLANK	NaCl_B	NA	NA	NA
B03	F02_A1.1_A11_1	NaCl_A	Specimen_001_B3_B03_021.fcs	13195	1127
B04	F02_A1.1_A11_1	NaCl_B	Specimen_001_B4_B04_022.fcs	14495	1009
B05	A03_A1.1_A12_1	NaCl_A	Specimen_001_B5_B05_023.fcs	16120	869
B06	A03_A1.1_A12_1	NaCl_B	Specimen_001_B6_B06_024.fcs	15080	793
B07	C03_A3_H11_1	NaCl_A	Specimen_001_B7_B07_025.fcs	13585	3291
B08	C03_A3_H11_1	NaCl_B	Specimen_001_B8_B08_026.fcs	13260	3060
B09	E03_A3_H03_1	NaCl_A	Specimen_001_B9_B09_027.fcs	15405	3097
B10	E03_A3_H03_1	NaCl_B	Specimen_001_B10_B10_028.fcs	14235	3273
B11	G03_A1.1_B12_1	NaCl_A	Specimen_001_B11_B11_029.fcs	15730	1637
B12	G03_A1.1_B12_1	NaCl_B	Specimen_001_B12_B12_030.fcs	15015	1240
B13	A04_A3_G12_1	NaCl_A	Specimen_001_B13_B13_031.fcs	14430	2480
B14	A04_A3_G12_1	NaCl_B	Specimen_001_B14_B14_032.fcs	14690	2294
B15	C04_A3_H02_1	NaCl_A	Specimen_001_B15_B15_033.fcs	14105	3285
B16	C04_A3_H02_1	NaCl_B	Specimen_001_B16_B16_034.fcs	10985	2430
B17	E04_A3_G01_1	NaCl_A	Specimen_001_B17_B17_035.fcs	12401	2312
B18	E04_A3_G01_1	NaCl_B	Specimen_001_B18_B18_036.fcs	12220	2094
B19	G04_A3_H09_1	NaCl_A	Specimen_001_B19_B19_037.fcs	12220	3207
B20	G04_A3_H09_1	NaCl_B	Specimen_001_B20_B20_038.fcs	12155	2842
B21	A05_A1.1_A08_1	NaCl_A	Specimen_001_B21_B21_039.fcs	14495	3763
B22	A05_A1.1_A08_1	NaCl_B	Specimen_001_B22_B22_040.fcs	12480	3037
B23	REF	NaCl_A	Specimen_003_B23_B23_351.fcs	20301	408
B24	REF	NaCl_B	Specimen_003_B24_B24_352.fcs	17969	411
C01	C02_A3_A03_1	pH7.3_A	Specimen_002_C1_C01_321.fcs	13325	5406
C02	C02_A3_A03_1	pH7.3_B	Specimen_002_C2_C02_322.fcs	14820	6878
C03	F02_A1.1_A11_2	pH7.3_A	Specimen_001_C3_C03_041.fcs	12350	2329
C04	F02_A1.1_A11_2	pH7.3_B	Specimen_001_C4_C04_042.fcs	9771	1653
C05	A03_A1.1_A12_2	pH7.3_A	Specimen_001_C5_C05_043.fcs	13065	2535
C06	A03_A1.1_A12_2	pH7.3_B	Specimen_001_C6_C06_044.fcs	8419	2138
C07	C03_A3_H11_2	pH7.3_A	Specimen_001_C7_C07_045.fcs	12090	6217
C08	C03_A3_H11_2	pH7.3_B	Specimen_001_C8_C08_046.fcs	8183	5604
C09	E03_A3_H03_2	pH7.3_A	Specimen_001_C9_C09_047.fcs	12769	5882
C10	E03_A3_H03_2	pH7.3_B	Specimen_001_C10_C10_048.fcs	8437	4816
