Name	Statistic	Cells
Specimen_001_A3_A03_001.fcs		3999
Specimen_001_A3_A03_001.fcs/mCherry	94.9	3795
Specimen_001_A4_A04_002.fcs		4749
Specimen_001_A4_A04_002.fcs/mCherry	96.3	4574
Specimen_001_A5_A05_003.fcs		4236
Specimen_001_A5_A05_003.fcs/mCherry	78.3	3316
Specimen_001_A6_A06_004.fcs		4493
Specimen_001_A6_A06_004.fcs/mCherry	72.9	3274
Specimen_001_A7_A07_005.fcs		4901
Specimen_001_A7_A07_005.fcs/mCherry	49.6	2430
Specimen_001_A8_A08_006.fcs		4309
Specimen_001_A8_A08_006.fcs/mCherry	44.6	1920
Specimen_001_A9_A09_007.fcs		3880
Specimen_001_A9_A09_007.fcs/mCherry	90.8	3524
Specimen_001_A10_A10_008.fcs		3655
Specimen_001_A10_A10_008.fcs/mCherry	91.3	3338
Specimen_001_A11_A11_009.fcs		4911
Specimen_001_A11_A11_009.fcs/mCherry	46.5	2283
Specimen_001_A12_A12_010.fcs		4984
Specimen_001_A12_A12_010.fcs/mCherry	40.2	2005
Specimen_001_A13_A13_011.fcs		3713
Specimen_001_A13_A13_011.fcs/mCherry	46.7	1735
Specimen_001_A14_A14_012.fcs		5048
Specimen_001_A14_A14_012.fcs/mCherry	44.6	2252
Specimen_001_A15_A15_013.fcs		3327
Specimen_001_A15_A15_013.fcs/mCherry	90.7	3017
Specimen_001_A16_A16_014.fcs		3299
Specimen_001_A16_A16_014.fcs/mCherry	90.2	2975
Specimen_001_A17_A17_015.fcs		4373
Specimen_001_A17_A17_015.fcs/mCherry	53.4	2337
Specimen_001_A18_A18_016.fcs		4924
Specimen_001_A18_A18_016.fcs/mCherry	45.2	2226
Specimen_001_A19_A19_017.fcs		3459
Specimen_001_A19_A19_017.fcs/mCherry	77	2662
Specimen_001_A20_A20_018.fcs		3982
Specimen_001_A20_A20_018.fcs/mCherry	75.2	2993
Specimen_001_A21_A21_019.fcs		3922
Specimen_001_A21_A21_019.fcs/mCherry	95	3724
Specimen_001_A22_A22_020.fcs		3516
Specimen_001_A22_A22_020.fcs/mCherry	95	3341
Specimen_001_B3_B03_021.fcs		11375
Specimen_001_B3_B03_021.fcs/mCherry	98.6	11213
Specimen_001_B4_B04_022.fcs		9685
Specimen_001_B4_B04_022.fcs/mCherry	98	9493
Specimen_001_B5_B05_023.fcs		10465
Specimen_001_B5_B05_023.fcs/mCherry	78	8162
Specimen_001_B6_B06_024.fcs		10465
Specimen_001_B6_B06_024.fcs/mCherry	74.5	7797
Specimen_001_B7_B07_025.fcs		10205
Specimen_001_B7_B07_025.fcs/mCherry	49.9	5093
Specimen_001_B8_B08_026.fcs		10572
Specimen_001_B8_B08_026.fcs/mCherry	47.4	5007
Specimen_001_B9_B09_027.fcs		10397
Specimen_001_B9_B09_027.fcs/mCherry	65.1	6770
Specimen_001_B10_B10_028.fcs		10266
Specimen_001_B10_B10_028.fcs/mCherry	60.1	6173
Specimen_001_B11_B11_029.fcs		9674
Specimen_001_B11_B11_029.fcs/mCherry	52.4	5066
Specimen_001_B12_B12_030.fcs		10310
Specimen_001_B12_B12_030.fcs/mCherry	46.4	4783
Specimen_001_B13_B13_031.fcs		9748
Specimen_001_B13_B13_031.fcs/mCherry	57.3	5583
Specimen_001_B14_B14_032.fcs		10714
Specimen_001_B14_B14_032.fcs/mCherry	54.6	5845
Specimen_001_B15_B15_033.fcs		8468
Specimen_001_B15_B15_033.fcs/mCherry	64.1	5431
Specimen_001_B16_B16_034.fcs		10530
Specimen_001_B16_B16_034.fcs/mCherry	60.6	6385
Specimen_001_B17_B17_035.fcs		9989
Specimen_001_B17_B17_035.fcs/mCherry	53	5296
Specimen_001_B18_B18_036.fcs		11180
Specimen_001_B18_B18_036.fcs/mCherry	49.2	5496
Specimen_001_B19_B19_037.fcs		9551
Specimen_001_B19_B19_037.fcs/mCherry	77.4	7392
Specimen_001_B20_B20_038.fcs		11310
Specimen_001_B20_B20_038.fcs/mCherry	71.5	8083
Specimen_001_B21_B21_039.fcs		10595
Specimen_001_B21_B21_039.fcs/mCherry	98	10388
Specimen_001_B22_B22_040.fcs		10725
Specimen_001_B22_B22_040.fcs/mCherry	97.8	10485
Specimen_001_C3_C03_041.fcs		3110
Specimen_001_C3_C03_041.fcs/mCherry	92.6	2880
Specimen_001_C4_C04_042.fcs		3422
Specimen_001_C4_C04_042.fcs/mCherry	94.2	3225
Specimen_001_C5_C05_043.fcs		4745
Specimen_001_C5_C05_043.fcs/mCherry	52	2469
Specimen_001_C6_C06_044.fcs		3442
Specimen_001_C6_C06_044.fcs/mCherry	39	1342
Specimen_001_C7_C07_045.fcs		3238
Specimen_001_C7_C07_045.fcs/mCherry	71.9	2327
Specimen_001_C8_C08_046.fcs		3013
Specimen_001_C8_C08_046.fcs/mCherry	64.8	1952
Specimen_001_C9_C09_047.fcs		3829
Specimen_001_C9_C09_047.fcs/mCherry	79.3	3036
Specimen_001_C10_C10_048.fcs		2745
Specimen_001_C10_C10_048.fcs/mCherry	80.6	2213
Specimen_001_C11_C11_049.fcs		3027
Specimen_001_C11_C11_049.fcs/mCherry	95.9	2904
Specimen_001_C12_C12_050.fcs		2789
Specimen_001_C12_C12_050.fcs/mCherry	94.2	2627
Specimen_001_C13_C13_051.fcs		3333
Specimen_001_C13_C13_051.fcs/mCherry	95.4	3181
Specimen_001_C14_C14_052.fcs		3242
Specimen_001_C14_C14_052.fcs/mCherry	95.1	3082
Specimen_001_C15_C15_053.fcs		3825
Specimen_001_C15_C15_053.fcs/mCherry	79.1	3026
Specimen_001_C16_C16_054.fcs		2870
Specimen_001_C16_C16_054.fcs/mCherry	77.1	2214
Specimen_001_C17_C17_055.fcs		3765
Specimen_001_C17_C17_055.fcs/mCherry	72.8	2740
Specimen_001_C18_C18_056.fcs		2289
Specimen_001_C18_C18_056.fcs/mCherry	68.3	1563
Specimen_001_C19_C19_057.fcs		3915
Specimen_001_C19_C19_057.fcs/mCherry	48.3	1892
Specimen_001_C20_C20_058.fcs		3755
Specimen_001_C20_C20_058.fcs/mCherry	41.7	1566
Specimen_001_C21_C21_059.fcs		2763
Specimen_001_C21_C21_059.fcs/mCherry	92.7	2560
Specimen_001_C22_C22_060.fcs		2226
Specimen_001_C22_C22_060.fcs/mCherry	93.6	2084
Specimen_001_D3_D03_061.fcs		9151
Specimen_001_D3_D03_061.fcs/mCherry	89.8	8220
