Name	Statistic	Cells
Specimen_001_A1_A01.fcs		2
Specimen_001_A1_A01.fcs/mCherry	0	0
Specimen_001_A3_A03.fcs		18095
Specimen_001_A3_A03.fcs/mCherry	99.7	18044
Specimen_001_A4_A04.fcs		19364
Specimen_001_A4_A04.fcs/mCherry	99.7	19299
Specimen_001_A5_A05.fcs		13865
Specimen_001_A5_A05.fcs/mCherry	79.2	10981
Specimen_001_A6_A06.fcs		14429
Specimen_001_A6_A06.fcs/mCherry	82.6	11915
Specimen_001_A7_A07.fcs		14335
Specimen_001_A7_A07.fcs/mCherry	71.7	10285
Specimen_001_A8_A08.fcs		15463
Specimen_001_A8_A08.fcs/mCherry	72.5	11210
Specimen_001_A9_A09.fcs		6423
Specimen_001_A9_A09.fcs/mCherry	71.9	4620
Specimen_001_A10_A10.fcs		15228
Specimen_001_A10_A10.fcs/mCherry	72.1	10975
Specimen_001_A11_A11.fcs		13959
Specimen_001_A11_A11.fcs/mCherry	68	9492
Specimen_001_A12_A12.fcs		418
Specimen_001_A12_A12.fcs/mCherry	25.6	107
Specimen_001_A13_A13.fcs		14194
Specimen_001_A13_A13.fcs/mCherry	73.7	10460
Specimen_001_A14_A14.fcs		15651
Specimen_001_A14_A14.fcs/mCherry	75.2	11776
Specimen_001_A15_A15.fcs		14805
Specimen_001_A15_A15.fcs/mCherry	73.5	10876
Specimen_001_A16_A16.fcs		17249
Specimen_001_A16_A16.fcs/mCherry	74.9	12918
Specimen_001_A17_A17.fcs		15228
Specimen_001_A17_A17.fcs/mCherry	72.4	11021
Specimen_001_A18_A18.fcs		17155
Specimen_001_A18_A18.fcs/mCherry	73.7	12638
Specimen_001_A19_A19.fcs		15651
Specimen_001_A19_A19.fcs/mCherry	80.9	12666
Specimen_001_A20_A20.fcs		18001
Specimen_001_A20_A20.fcs/mCherry	80.8	14550
Specimen_001_A21_A21.fcs		19035
Specimen_001_A21_A21.fcs/mCherry	99.8	18988
Specimen_001_A22_A22.fcs		19693
Specimen_001_A22_A22.fcs/mCherry	99.7	19639
Specimen_001_B3_B03.fcs		13959
Specimen_001_B3_B03.fcs/mCherry	99.8	13927
Specimen_001_B4_B04.fcs		14946
