Name	Statistic	Cells
Specimen_001_A1_A01.fcs		7
Specimen_001_A1_A01.fcs/mCherry	0	0
Specimen_001_A2_A02.fcs		278
Specimen_001_A2_A02.fcs/mCherry	0	0
Specimen_001_A3_A03.fcs		19035
Specimen_001_A3_A03.fcs/mCherry	99.2	18889
Specimen_001_A4_A04.fcs		17437
Specimen_001_A4_A04.fcs/mCherry	99.2	17295
Specimen_001_A5_A05.fcs		24628
Specimen_001_A5_A05.fcs/mCherry	67.7	16664
Specimen_001_A6_A06.fcs		22325
Specimen_001_A6_A06.fcs/mCherry	66.3	14800
Specimen_001_A7_A07.fcs		23030
Specimen_001_A7_A07.fcs/mCherry	59.9	13795
Specimen_001_A8_A08.fcs		21244
Specimen_001_A8_A08.fcs/mCherry	57.4	12192
Specimen_001_A9_A09.fcs		22090
Specimen_001_A9_A09.fcs/mCherry	61.5	13589
Specimen_001_A10_A10.fcs		20210
Specimen_001_A10_A10.fcs/mCherry	61.6	12446
Specimen_001_A11_A11.fcs		21291
Specimen_001_A11_A11.fcs/mCherry	60.4	12857
Specimen_001_A12_A12.fcs		19176
Specimen_001_A12_A12.fcs/mCherry	59.6	11428
Specimen_001_A13_A13.fcs		21009
Specimen_001_A13_A13.fcs/mCherry	64.8	13624
Specimen_001_A14_A14.fcs		19693
Specimen_001_A14_A14.fcs/mCherry	64.9	12783
Specimen_001_A15_A15.fcs		21291
Specimen_001_A15_A15.fcs/mCherry	61.9	13175
Specimen_001_A16_A16.fcs		20163
Specimen_001_A16_A16.fcs/mCherry	63.3	12766
Specimen_001_A17_A17.fcs		21385
Specimen_001_A17_A17.fcs/mCherry	60.3	12905
Specimen_001_A18_A18.fcs		20069
Specimen_001_A18_A18.fcs/mCherry	60.1	12057
Specimen_001_A19_A19.fcs		22466
Specimen_001_A19_A19.fcs/mCherry	64.1	14394
Specimen_001_A20_A20.fcs		21714
Specimen_001_A20_A20.fcs/mCherry	64.9	14097
Specimen_001_A21_A21.fcs		16920
Specimen_001_A21_A21.fcs/mCherry	99.3	16801
Specimen_001_A22_A22.fcs		15416
Specimen_001_A22_A22.fcs/mCherry	99.2	15286
Specimen_001_A23_A23.fcs		8
Specimen_001_A23_A23.fcs/mCherry	100	8
Specimen_001_A24_A24.fcs		4
Specimen_001_A24_A24.fcs/mCherry	75	3
Specimen_001_B3_B03.fcs		21103
Specimen_001_B3_B03.fcs/mCherry	97.8	20645
Specimen_001_B4_B04.fcs		25000
Specimen_001_B4_B04.fcs/mCherry	98.4	24607
Specimen_001_B5_B05.fcs		16873
Specimen_001_B5_B05.fcs/mCherry	79.9	13476
Specimen_001_B6_B06.fcs		22372
Specimen_001_B6_B06.fcs/mCherry	80.2	17949
Specimen_001_B7_B07.fcs		17719
