well_id	sample_id	fact	name_long	cells	dark
C21	A05_A1.1_A08_2	pH7.3_A	Specimen_001_C21_C21_059.fcs	12395	9018
C22	A05_A1.1_A08_2	pH7.3_B	Specimen_001_C22_C22_060.fcs	13975	10128
C23	C05_A1.1_A09_1	pH7.3_A	Specimen_003_C23_C23_357.fcs	22500	9590
C24	C05_A1.1_A09_1	pH7.3_B	Specimen_003_C24_C24_358.fcs	20688	8668
D01	C02_A3_A03_1	NaCl_A	Specimen_002_D1_D01_327.fcs	20577	8514
D02	C02_A3_A03_1	NaCl_B	Specimen_002_D2_D02_328.fcs	22500	9547
D03	F02_A1.1_A11_2	NaCl_A	Specimen_001_D3_D03_061.fcs	20865	6817
D04	F02_A1.1_A11_2	NaCl_B	Specimen_001_D4_D04_062.fcs	16185	5308
D05	A03_A1.1_A12_2	NaCl_A	Specimen_001_D5_D05_063.fcs	14755	4980
D06	A03_A1.1_A12_2	NaCl_B	Specimen_001_D6_D06_064.fcs	16055	5124
D07	C03_A3_H11_2	NaCl_A	Specimen_001_D7_D07_065.fcs	15513	7128
D08	C03_A3_H11_2	NaCl_B	Specimen_001_D8_D08_066.fcs	17355	7958
D09	E03_A3_H03_2	NaCl_A	Specimen_001_D9_D09_067.fcs	19630	8363
D10	E03_A3_H03_2	NaCl_B	Specimen_001_D10_D10_068.fcs	18720	7766
D11	G03_A1.1_B12_2	NaCl_A	Specimen_001_D11_D11_069.fcs	15130	4931
D12	G03_A1.1_B12_2	NaCl_B	Specimen_001_D12_D12_070.fcs	16380	5434
D13	A04_A3_G12_2	NaCl_A	Specimen_001_D13_D13_071.fcs	18460	8713
D14	A04_A3_G12_2	NaCl_B	Specimen_001_D14_D14_072.fcs	16575	7693
D15	C04_A3_H02_2	NaCl_A	Specimen_001_D15_D15_073.fcs	12813	6573
D16	C04_A3_H02_2	NaCl_B	Specimen_001_D16_D16_074.fcs	12305	6224
D17	E04_A3_G01_2	NaCl_A	Specimen_001_D17_D17_075.fcs	14170	6582
D18	E04_A3_G01_2	NaCl_B	Specimen_001_D18_D18_076.fcs	16120	7248
D19	G04_A3_H09_2	NaCl_A	Specimen_001_D19_D19_077.fcs	16169	7684
D20	G04_A3_H09_2	NaCl_B	Specimen_001_D20_D20_078.fcs	15658	7811
D21	A05_A1.1_A08_2	NaCl_A	Specimen_001_D21_D21_079.fcs	14820	7476
D22	A05_A1.1_A08_2	NaCl_B	Specimen_001_D22_D22_080.fcs	11412	6424
D23	C05_A1.1_A09_1	NaCl_A	Specimen_003_D23_D23_359.fcs	21606	7860
D24	C05_A1.1_A09_1	NaCl_B	Specimen_003_D24_D24_360.fcs	21515	8590
E01	C02_A3_A03_2	pH7.3_A	Specimen_002_E1_E01_329.fcs	18720	8350
E02	C02_A3_A03_2	pH7.3_B	Specimen_002_E2_E02_330.fcs	14235	6996
E03	E05_A1.1_H01_1	pH7.3_A	Specimen_001_E3_E03_081.fcs	18850	10191
E04	E05_A1.1_H01_1	pH7.3_B	Specimen_001_E4_E04_082.fcs	11085	6309
E05	MJM64_MATa	pH7.3_A	Specimen_001_E5_E05_083.fcs	22500	20983
E06	MJM64_MATa	pH7.3_B	Specimen_001_E6_E06_084.fcs	22500	20831
E07	G05_A1.1_E12_1	pH7.3_A	Specimen_001_E7_E07_085.fcs	14235	6876
E08	G05_A1.1_E12_1	pH7.3_B	Specimen_001_E8_E08_086.fcs	14105	7185
E09	MJM36_MATalpha	pH7.3_A	Specimen_001_E9_E09_087.fcs	13975	5592
E10	MJM36_MATalpha	pH7.3_B	Specimen_001_E10_E10_088.fcs	11490	4885
E11	A06_A3_H07_1	pH7.3_A	Specimen_001_E11_E11_089.fcs	12025	6485
E12	A06_A3_H07_1	pH7.3_B	Specimen_001_E12_E12_090.fcs	9441	5300
E13	MJM64_MATa	pH7.3_A	Specimen_001_E13_E13_091.fcs	22500	20811
E14	MJM64_MATa	pH7.3_B	Specimen_001_E14_E14_092.fcs	22500	21072
E15	D06_A1.1_H11_1	pH7.3_A	Specimen_001_E15_E15_093.fcs	14560	9150
E16	D06_A1.1_H11_1	pH7.3_B	Specimen_001_E16_E16_094.fcs	12935	8293
E17	MJM36_MATalpha	pH7.3_A	Specimen_001_E17_E17_095.fcs	10402	4696
E18	MJM36_MATalpha	pH7.3_B	Specimen_001_E18_E18_096.fcs	10589	4656
E19	F06_A3_A11_1	pH7.3_A	Specimen_001_E19_E19_097.fcs	11635	7246
E20	F06_A3_A11_1	pH7.3_B	Specimen_001_E20_E20_098.fcs	8934	5932
E21	REF	pH7.3_A	Specimen_001_E21_E21_099.fcs	12870	59
E22	REF	pH7.3_B	Specimen_001_E22_E22_100.fcs	14728	46
E23	C05_A1.1_A09_2	pH7.3_A	Specimen_003_E23_E23_361.fcs	21958	9393
E24	C05_A1.1_A09_2	pH7.3_B	Specimen_003_E24_E24_362.fcs	17979	8808
F01	C02_A3_A03_2	NaCl_A	Specimen_002_F1_F01_331.fcs	17294	6133
F02	C02_A3_A03_2	NaCl_B	Specimen_002_F2_F02_332.fcs	19043	7287
F03	E05_A1.1_H01_1	NaCl_A	Specimen_001_F3_F03_101.fcs	18316	7506
F04	E05_A1.1_H01_1	NaCl_B	Specimen_001_F4_F04_102.fcs	17810	6557
F05	MJM64_MATa	NaCl_A	Specimen_001_F5_F05_103.fcs	16965	13172
F06	MJM64_MATa	NaCl_B	Specimen_001_F6_F06_104.fcs	16510	12689
F07	G05_A1.1_E12_1	NaCl_A	Specimen_001_F7_F07_105.fcs	17290	5962
F08	G05_A1.1_E12_1	NaCl_B	Specimen_001_F8_F08_106.fcs	12359	4190
F09	MJM36_MATalpha	NaCl_A	Specimen_001_F9_F09_107.fcs	11913	4053
F10	MJM36_MATalpha	NaCl_B	Specimen_001_F10_F10_108.fcs	13650	4201
F11	A06_A3_H07_1	NaCl_A	Specimen_001_F11_F11_109.fcs	16445	5952
F12	A06_A3_H07_1	NaCl_B	Specimen_001_F12_F12_110.fcs	15405	5713
F13	MJM64_MATa	NaCl_A	Specimen_001_F13_F13_111.fcs	14451	11511
F14	MJM64_MATa	NaCl_B	Specimen_001_F14_F14_112.fcs	11284	8450
F15	D06_A1.1_H11_1	NaCl_A	Specimen_001_F15_F15_113.fcs	17404	8427
F16	D06_A1.1_H11_1	NaCl_B	Specimen_001_F16_F16_114.fcs	13670	6509
F17	MJM36_MATalpha	NaCl_A	Specimen_001_F17_F17_115.fcs	14820	5276
F18	MJM36_MATalpha	NaCl_B	Specimen_001_F18_F18_116.fcs	12545	3732
F19	F06_A3_A11_1	NaCl_A	Specimen_001_F19_F19_117.fcs	13496	6127
F20	F06_A3_A11_1	NaCl_B	Specimen_001_F20_F20_118.fcs	12740	6015
F21	REF	NaCl_A	Specimen_001_F21_F21_119.fcs	19614	228
F22	REF	NaCl_B	Specimen_001_F22_F22_120.fcs	22750	307
F23	C05_A1.1_A09_2	NaCl_A	Specimen_003_F23_F23_363.fcs	22500	9420
