Name	Statistic	Cells
Specimen_001_A1_A01.fcs		18753
Specimen_001_A1_A01.fcs/cells	100	18747
Specimen_001_A1_A01.fcs/cells/mCherry	99.8	18706
Specimen_001_A2_A02.fcs		20000
Specimen_001_A2_A02.fcs/cells	100	19996
Specimen_001_A2_A02.fcs/cells/mCherry	99.9	19979
Specimen_001_A3_A03.fcs		15504
Specimen_001_A3_A03.fcs/cells	99.9	15482
Specimen_001_A3_A03.fcs/cells/mCherry	89.6	13876
Specimen_001_A4_A04.fcs		19665
Specimen_001_A4_A04.fcs/cells	100	19656
Specimen_001_A4_A04.fcs/cells/mCherry	85.3	16771
Specimen_001_A5_A05.fcs		18354
Specimen_001_A5_A05.fcs/cells	99.9	18337
Specimen_001_A5_A05.fcs/cells/mCherry	66.6	12218
Specimen_001_A6_A06.fcs		20000
Specimen_001_A6_A06.fcs/cells	100	19990
Specimen_001_A6_A06.fcs/cells/mCherry	59.7	11937
Specimen_001_A7_A07.fcs		14022
Specimen_001_A7_A07.fcs/cells	100	14016
Specimen_001_A7_A07.fcs/cells/mCherry	17.7	2474
Specimen_001_A8_A08.fcs		17556
Specimen_001_A8_A08.fcs/cells	100	17552
Specimen_001_A8_A08.fcs/cells/mCherry	13.9	2439
Specimen_001_A9_A09.fcs		17328
Specimen_001_A9_A09.fcs/cells	100	17325
Specimen_001_A9_A09.fcs/cells/mCherry	61.5	10659
Specimen_001_A10_A10.fcs		20000
Specimen_001_A10_A10.fcs/cells	100	19992
Specimen_001_A10_A10.fcs/cells/mCherry	53.4	10684
Specimen_001_A11_A11.fcs		14421
Specimen_001_A11_A11.fcs/cells	99.9	14400
Specimen_001_A11_A11.fcs/cells/mCherry	87.5	12602
Specimen_001_A12_A12.fcs		17385
Specimen_001_A12_A12.fcs/cells	99.9	17371
Specimen_001_A12_A12.fcs/cells/mCherry	88.2	15323
Specimen_001_A13_A13.fcs		11538
Specimen_001_A13_A13.fcs/cells	99.8	11513
Specimen_001_A13_A13.fcs/cells/mCherry	88	10128
Specimen_001_A14_A14.fcs		16815
Specimen_001_A14_A14.fcs/cells	99.9	16797
Specimen_001_A14_A14.fcs/cells/mCherry	84.8	14252
Specimen_001_A15_A15.fcs		13680
Specimen_001_A15_A15.fcs/cells	100	13675
Specimen_001_A15_A15.fcs/cells/mCherry	80.6	11020
Specimen_001_A16_A16.fcs		14649
Specimen_001_A16_A16.fcs/cells	100	14645
Specimen_001_A16_A16.fcs/cells/mCherry	75.9	11121
Specimen_001_A17_A17.fcs		14706
Specimen_001_A17_A17.fcs/cells	99.9	14697
Specimen_001_A17_A17.fcs/cells/mCherry	85.8	12616
Specimen_001_A18_A18.fcs		13274
Specimen_001_A18_A18.fcs/cells	99.9	13262
Specimen_001_A18_A18.fcs/cells/mCherry	84.1	11155
Specimen_001_A19_A19.fcs		16074
Specimen_001_A19_A19.fcs/cells	99.9	16062
Specimen_001_A19_A19.fcs/cells/mCherry	84.9	13643
Specimen_001_A20_A20.fcs		18297
Specimen_001_A20_A20.fcs/cells	100	18288
Specimen_001_A20_A20.fcs/cells/mCherry	82.8	15146
Specimen_001_A21_A21.fcs		18468
Specimen_001_A21_A21.fcs/cells	99.9	18452
Specimen_001_A21_A21.fcs/cells/mCherry	88.2	16280
Specimen_001_A22_A22.fcs		20000
Specimen_001_A22_A22.fcs/cells	100	19990
Specimen_001_A22_A22.fcs/cells/mCherry	83.6	16709
Specimen_001_A23_A23.fcs		20000
Specimen_001_A23_A23.fcs/cells	99.9	19989
Specimen_001_A23_A23.fcs/cells/mCherry	99.8	19958
Specimen_001_A24_A24.fcs		20000
Specimen_001_A24_A24.fcs/cells	99.9	19985
Specimen_001_A24_A24.fcs/cells/mCherry	99.9	19966
Specimen_001_B1_B01.fcs		15333
Specimen_001_B1_B01.fcs/cells	100	15330
Specimen_001_B1_B01.fcs/cells/mCherry	99.3	15216
Specimen_001_B2_B02.fcs		16180
Specimen_001_B2_B02.fcs/cells	99.9	16161
Specimen_001_B2_B02.fcs/cells/mCherry	99.6	16094
Specimen_001_B3_B03.fcs		14193
Specimen_001_B3_B03.fcs/cells	100	14186
Specimen_001_B3_B03.fcs/cells/mCherry	80.2	11380
Specimen_001_B4_B04.fcs		20000
Specimen_001_B4_B04.fcs/cells	100	19992
Specimen_001_B4_B04.fcs/cells/mCherry	80.8	16144
Specimen_001_B5_B05.fcs		15219
Specimen_001_B5_B05.fcs/cells	99.9	15205
Specimen_001_B5_B05.fcs/cells/mCherry	58.5	8902
Specimen_001_B6_B06.fcs		19665
Specimen_001_B6_B06.fcs/cells	100	19656
Specimen_001_B6_B06.fcs/cells/mCherry	55.6	10920
Specimen_001_B7_B07.fcs		15333
Specimen_001_B7_B07.fcs/cells	99.9	15321
Specimen_001_B7_B07.fcs/cells/mCherry	13.6	2088
Specimen_001_B8_B08.fcs		18924
Specimen_001_B8_B08.fcs/cells	100	18919
Specimen_001_B8_B08.fcs/cells/mCherry	11.7	2210
Specimen_001_B9_B09.fcs		18525
Specimen_001_B9_B09.fcs/cells	100	18516
Specimen_001_B9_B09.fcs/cells/mCherry	53.6	9921
Specimen_001_B10_B10.fcs		14932
Specimen_001_B10_B10.fcs/cells	99.9	14918
Specimen_001_B10_B10.fcs/cells/mCherry	47.4	7072
Specimen_001_B11_B11.fcs		13452
