Name	Statistic	Cells
Specimen_001_D7_D07.fcs		12596
Specimen_001_D7_D07.fcs/mCherry	64.8	8163
Specimen_001_D8_D08.fcs		13630
Specimen_001_D8_D08.fcs/mCherry	61.4	8374
Specimen_001_D9_D09.fcs		13489
Specimen_001_D9_D09.fcs/mCherry	66.1	8916
Specimen_001_D10_D10.fcs		14570
Specimen_001_D10_D10.fcs/mCherry	64.9	9456
Specimen_001_D11_D11.fcs		16356
Specimen_001_D11_D11.fcs/mCherry	98.1	16044
Specimen_001_D12_D12.fcs		17061
Specimen_001_D12_D12.fcs/mCherry	97.7	16675
Specimen_001_D13_D13.fcs		15651
Specimen_001_D13_D13.fcs/mCherry	97.8	15302
Specimen_001_D14_D14.fcs		17719
Specimen_001_D14_D14.fcs/mCherry	97.2	17220
Specimen_001_D15_D15.fcs		13536
Specimen_001_D15_D15.fcs/mCherry	63.3	8562
Specimen_001_D16_D16.fcs		14335
Specimen_001_D16_D16.fcs/mCherry	66.1	9474
Specimen_001_D17_D17.fcs		13912
Specimen_001_D17_D17.fcs/mCherry	67.2	9342
Specimen_001_D18_D18.fcs		13865
Specimen_001_D18_D18.fcs/mCherry	64.1	8883
Specimen_001_D19_D19.fcs		13959
Specimen_001_D19_D19.fcs/mCherry	58.3	8134
Specimen_001_D20_D20.fcs		15134
Specimen_001_D20_D20.fcs/mCherry	58.2	8806
Specimen_001_D21_D21.fcs		14194
Specimen_001_D21_D21.fcs/mCherry	87.1	12369
Specimen_001_D22_D22.fcs		16027
Specimen_001_D22_D22.fcs/mCherry	85.1	13635
Specimen_001_E3_E03.fcs		7426
Specimen_001_E3_E03.fcs/mCherry	53.6	3977
Specimen_001_E4_E04.fcs		6561
Specimen_001_E4_E04.fcs/mCherry	47.9	3144
Specimen_001_E5_E05.fcs		6814
Specimen_001_E5_E05.fcs/mCherry	46.4	3164
Specimen_001_E6_E06.fcs		6208
Specimen_001_E6_E06.fcs/mCherry	39.5	2453
Specimen_001_E7_E07.fcs		7614
Specimen_001_E7_E07.fcs/mCherry	42.9	3266
Specimen_001_E8_E08.fcs		6332
Specimen_001_E8_E08.fcs/mCherry	38.5	2437
Specimen_001_E9_E09.fcs		6668
Specimen_001_E9_E09.fcs/mCherry	63.9	4259
Specimen_001_E10_E10.fcs		5460
Specimen_001_E10_E10.fcs/mCherry	62.2	3394
Specimen_001_E11_E11.fcs		5682
