"env","regime","kk_strain_id","mu_s","sd_s","n_s","env_means","fitness_gain_adj"
"SC_0.2M_NaCl","asexual","A03_a1.1_A12_1",-0.137565786547439,0.0128520757345941,7,-0.105023244677779,-0.0325425418696597
"SC_0.2M_NaCl","asexual","D02_a1.1_A05_1",-0.104397332338141,0.00562286238682221,8,-0.105023244677779,0.000625912339637644
"SC_0.2M_NaCl","asexual","D04_a1.1_H06_1",-0.136369712747085,0.0110286756190962,10,-0.105023244677779,-0.031346468069306
"SC_0.2M_NaCl","asexual","H05_a1.1_D12_1",-0.102687064684669,0.00550046110720773,10,-0.105023244677779,0.00233617999311
"SC_0.2M_NaCl","sexual","C02_a3_A03_1",-0.101942055884001,0.0126174437804254,10,-0.105023244677779,0.00308118879377837
"SC_0.2M_NaCl","sexual","D03_a3_B12_1",-0.0784152036215963,0.00888111581217554,10,-0.105023244677779,0.0266080410561828
"SC_0.2M_NaCl","sexual","E04_a3_G01_1",-0.102139496770838,0.00793289079012406,9,-0.105023244677779,0.00288374790694158
"SC_0.2M_NaCl","sexual","F06_a3_A11_1",-0.0712545287269168,0.0045353558474436,9,-0.105023244677779,0.0337687159508623
"SC_pH7.3","asexual","A03_a1.1_A12_1",-0.109351862155293,0.0116819686457834,8,-0.0611790680232666,-0.0481727941320263
"SC_pH7.3","asexual","D02_a1.1_A05_1",-0.0350780003401244,0.0145024547769757,10,-0.0611790680232666,0.0261010676831422
"SC_pH7.3","asexual","D04_a1.1_H06_1",-0.231543159014427,0.0146792320692427,9,-0.0611790680232666,-0.17036409099116
"SC_pH7.3","asexual","H05_a1.1_D12_1",-0.0838188708784683,0.0147432615234762,10,-0.0611790680232666,-0.0226398028552017
"SC_pH7.3","sexual","C02_a3_A03_1",-0.0335066122933227,0.0118569188984917,10,-0.0611790680232666,0.0276724557299438
"SC_pH7.3","sexual","D03_a3_B12_1",-0.0254448046864256,0.0139741366947096,10,-0.0611790680232666,0.035734263336841
"SC_pH7.3","sexual","E04_a3_G01_1",-0.0132590396689668,0.0154399803946234,10,-0.0611790680232666,0.0479200283542998
"SC_pH7.3","sexual","F06_a3_A11_1",-0.00856006042195448,0.011513682284394,10,-0.0611790680232666,0.0526190076013121
"SC37C","asexual","A03_a1.1_A12_1",-0.118678560020763,0.0201549299500823,9,-0.0401668810635673,-0.0785116789571955
"SC37C","asexual","D02_a1.1_A05_1",-0.0472490659431303,0.00832061361953078,9,-0.0401668810635673,-0.00708218487956296
"SC37C","asexual","D04_a1.1_H06_1",-0.161363797180832,0.0164658215713808,9,-0.0401668810635673,-0.121196916117265
"SC37C","asexual","H05_a1.1_D12_1",-0.163427137272666,0.0263934149711476,10,-0.0401668810635673,-0.123260256209099
"SC37C","sexual","C02_a3_A03_1",-0.048445453845144,0.0224427395047579,9,-0.0401668810635673,-0.00827857278157675
"SC37C","sexual","D03_a3_B12_1",0.0101821419810699,0.0106406701998802,8,-0.0401668810635673,0.0503490230446372
"SC37C","sexual","E04_a3_G01_1",0.0022302848887544,0.00989152612555638,8,-0.0401668810635673,0.0423971659523217
"SC37C","sexual","F06_a3_A11_1",0.00719248454756823,0.0248378762267417,8,-0.0401668810635673,0.0473593656111355
"YPD","asexual","A03_a1.1_A12_1",-0.0222551375939902,0.00783761449146907,10,-0.00389995472961999,-0.0183551828643702
"YPD","asexual","D02_a1.1_A05_1",0.00425609801221717,0.00458183804421701,9,-0.00389995472961999,0.00815605274183716
"YPD","asexual","D04_a1.1_H06_1",-0.00770536024341908,0.00710642587571681,10,-0.00389995472961999,-0.00380540551379908
"YPD","asexual","H05_a1.1_D12_1",-0.00232982142834986,0.0118987345293691,10,-0.00389995472961999,0.00157013330127014
"YPD","sexual","C02_a3_A03_1",0.00755253919736346,0.00682838001112521,10,-0.00389995472961999,0.0114524939269835
"YPD","sexual","D03_a3_B12_1",0.0280675628843946,0.00511053812967416,9,-0.00389995472961999,0.0319675176140146
"YPD","sexual","E04_a3_G01_1",0.0302287554301777,0.00807298108156732,9,-0.00389995472961999,0.0341287101597977
"YPD","sexual","F06_a3_A11_1",0.0178946017608178,0.00662129980360761,10,-0.00389995472961999,0.0217945564904378
