"","sample_id","env","regime","anc","ref","kk_pop_id","fitness_gain_avg","fitness_gain_sd"
"50","B03_a3_H06_1","SC_0.2M_NaCl","sexual",0,0,"a3_H06",0.00851922776112959,0.0046471323886679
"51","B03_a3_H06_1","SC_pH7.3","sexual",0,0,"a3_H06",0.100159885655355,0.00391096489688452
"52","B03_a3_H06_1","SC30C","sexual",0,0,"a3_H06",-0.0108073740284044,0.0044470477001254
"53","B03_a3_H06_1","SC37C","sexual",0,0,"a3_H06",0.0248049954501374,0.0085855233659081
"54","B03_a3_H06_1","YPD","sexual",0,0,"a3_H06",0.00146227585832629,0.00203268922734475
"55","B03_a3_H06_2","lowP","sexual",0,0,"a3_H06",-0.00591351113737551,0.00584791995500431
"56","B03_a3_H06_2","SC_0.2M_NaCl","sexual",0,0,"a3_H06",0.0111574310842446,0.00385271972051135
"57","B03_a3_H06_2","SC_pH7.3","sexual",0,0,"a3_H06",0.0997134108386609,0.0196984695096162
"58","B03_a3_H06_2","SC30C","sexual",0,0,"a3_H06",-0.0177841496229374,0.00161148524344718
"59","B03_a3_H06_2","SC37C","sexual",0,0,"a3_H06",0.00946533090356736,0.019823266641535
"60","B03_a3_H06_2","YPD","sexual",0,0,"a3_H06",0.000193338004681236,0.00325957505724272
"61","B04_a1.1_A02_1","lowP","asexual",0,0,"a1.1_A02",-0.0129061103433384,0.0148774641871656
"62","B04_a1.1_A02_1","SC_0.2M_NaCl","asexual",0,0,"a1.1_A02",-0.00900134965847391,0.00768334334233528
"63","B04_a1.1_A02_1","SC_pH7.3","asexual",0,0,"a1.1_A02",0.0881516426375009,0.0134197688364346
"64","B04_a1.1_A02_1","SC30C","asexual",0,0,"a1.1_A02",-0.0277224045614373,0.00663180640872823
"65","B04_a1.1_A02_1","SC37C","asexual",0,0,"a1.1_A02",-0.0103413416134975,0.00337681026883814
"66","B04_a1.1_A02_1","YPD","asexual",0,0,"a1.1_A02",-0.00359562600911571,0.00141443738008736
"67","B04_a1.1_A02_2","lowP","asexual",0,0,"a1.1_A02",0.00543872796919679,0.00439892872722743
"68","B04_a1.1_A02_2","SC_0.2M_NaCl","asexual",0,0,"a1.1_A02",0.0088673474095346,0.00385445003304199
"69","B04_a1.1_A02_2","SC_pH7.3","asexual",0,0,"a1.1_A02",0.0815389633869831,0.0113923731558592
"70","B04_a1.1_A02_2","SC30C","asexual",0,0,"a1.1_A02",-0.0260002949535306,0.00568108263371759
"71","B04_a1.1_A02_2","SC37C","asexual",0,0,"a1.1_A02",-0.0841933043604733,0.0153677149110628
"72","B04_a1.1_A02_2","YPD","asexual",0,0,"a1.1_A02",-0.00713412806724306,0.00250892126517821
"73","B05_a1.1_G01_1","lowP","asexual",0,0,"a1.1_G01",-0.214506491888847,0.0258300316423274
"74","B05_a1.1_G01_1","SC_0.2M_NaCl","asexual",0,0,"a1.1_G01",-0.0967191184303534,0.0545853398166953
"75","B05_a1.1_G01_1","SC_pH7.3","asexual",0,0,"a1.1_G01",-0.0905617723078981,0.0101375144715642
"76","B05_a1.1_G01_1","SC30C","asexual",0,0,"a1.1_G01",-0.10498560676461,0.0267366299616701
"77","B05_a1.1_G01_1","SC37C","asexual",0,0,"a1.1_G01",-0.124867134930542,0.0218274623371265
"78","B05_a1.1_G01_1","YPD","asexual",0,0,"a1.1_G01",-0.018603058490624,0.000905361637230005
"79","B05_a1.1_G01_2","lowP","asexual",0,0,"a1.1_G01",-0.0511979841702837,0.0207895779898829
"80","B05_a1.1_G01_2","SC_0.2M_NaCl","asexual",0,0,"a1.1_G01",-0.0050664926139754,0.0039438776054639
"81","B05_a1.1_G01_2","SC_pH7.3","asexual",0,0,"a1.1_G01",-0.0207581601993006,0.0090370989585736
"82","B05_a1.1_G01_2","SC30C","asexual",0,0,"a1.1_G01",-0.0523221906604263,0.0152420609754971
"83","B05_a1.1_G01_2","SC37C","asexual",0,0,"a1.1_G01",-0.0852857592453853,0.0060701377485019
"84","B05_a1.1_G01_2","YPD","asexual",0,0,"a1.1_G01",-0.0135541846180205,0.00183286470714116
"85","C02_a3_A03_1","lowP","sexual",0,0,"a3_A03",-0.0516376325378753,0.00511493897459794
"86","C02_a3_A03_1","SC_0.2M_NaCl","sexual",0,0,"a3_A03",0.0058859497179111,0.00685298217764847
"87","C02_a3_A03_1","SC_pH7.3","sexual",0,0,"a3_A03",0.0911816912062103,0.00444109237050215
"88","C02_a3_A03_1","SC30C","sexual",0,0,"a3_A03",-0.0269983704102103,8.92619932720073e-05
"89","C02_a3_A03_1","SC37C","sexual",0,0,"a3_A03",-0.0333276503695704,0.00100425605470954
"90","C02_a3_A03_1","YPD","sexual",0,0,"a3_A03",0.012451143009959,0.000292927965333378
"91","C02_a3_A03_2","lowP","sexual",0,0,"a3_A03",-0.00828310764986051,0.0100889150534341
"92","C02_a3_A03_2","SC_0.2M_NaCl","sexual",0,0,"a3_A03",0.0197021277498024,0.0214965980451839
"93","C02_a3_A03_2","SC_pH7.3","sexual",0,0,"a3_A03",0.0795831916794327,0.0133409631350809
"94","C02_a3_A03_2","SC30C","sexual",0,0,"a3_A03",-0.0186312747138105,0.00521888288552648
"95","C02_a3_A03_2","SC37C","sexual",0,0,"a3_A03",-0.00784756044583864,0.00776685900394997
"96","C02_a3_A03_2","YPD","sexual",0,0,"a3_A03",0.0115626089464389,0.00282035619585065
"97","C03_a3_H11_1","lowP","sexual",0,0,"a3_H11",0.00758558795743514,0.00353679524876448
"98","C03_a3_H11_1","SC_0.2M_NaCl","sexual",0,0,"a3_H11",0.0259893787569582,0.000419393936630868
"99","C03_a3_H11_1","SC_pH7.3","sexual",0,0,"a3_H11",0.093104818411876,0.0308941804513816
"100","C03_a3_H11_1","SC30C","sexual",0,0,"a3_H11",-0.0027160483242644,0.00378098345783451
"101","C03_a3_H11_1","SC37C","sexual",0,0,"a3_H11",0.0619979136427009,0.0315158352798271
"102","C03_a3_H11_1","YPD","sexual",0,0,"a3_H11",0.0165706790281779,0.000776611268104763
"103","C03_a3_H11_2","lowP","sexual",0,0,"a3_H11",0.00443852333852984,0.00950244846564973
"104","C03_a3_H11_2","SC_0.2M_NaCl","sexual",0,0,"a3_H11",0.0196873119187524,0.00439493912380543
"105","C03_a3_H11_2","SC_pH7.3","sexual",0,0,"a3_H11",0.105640738795273,0.0279045555784336
"106","C03_a3_H11_2","SC30C","sexual",0,0,"a3_H11",-0.009017993577481,0.00392355089021783
"107","C03_a3_H11_2","SC37C","sexual",0,0,"a3_H11",0.0265399073666895,0.00705491690116197
"108","C03_a3_H11_2","YPD","sexual",0,0,"a3_H11",0.0147101222356621,0.00144228541801271
"109","C04_a3_H02_1","lowP","sexual",0,0,"a3_H02",0.00417568745200669,2.05273244285238e-05
"110","C04_a3_H02_1","SC_0.2M_NaCl","sexual",0,0,"a3_H02",0.0147277937464636,0.000457703683724542
"111","C04_a3_H02_1","SC_pH7.3","sexual",0,0,"a3_H02",0.0760527044415267,0.030904399248196
"112","C04_a3_H02_1","SC30C","sexual",0,0,"a3_H02",-0.0154063001973939,0.0106456425331175
"113","C04_a3_H02_1","SC37C","sexual",0,0,"a3_H02",0.0338201878122919,0.0198270021072382
