"kk_strain_id","regime","env","fitness_gain_adj","mc_avg"
"F02_a1.1_A11_1","asexual","YPD",-0.0173126948925684,-0.0140885458946013
"F04_a3_B01_1","sexual","SC_0.2M_NaCl",0.00788819382757028,-0.0121276108393639
"F04_a3_B01_1","sexual","SC_pH7.3",-0.0163604662019185,-0.0232540174504047
"F04_a3_B01_1","sexual","SC37C",0.0545085658269434,0.0155251666648575
"F04_a3_B01_1","sexual","YPD",0.0121290238241902,0.000461375987075653
"F06_a3_A11_1","sexual","SC_0.2M_NaCl",0.04104101119337,0.0341747906984323
"F06_a3_A11_1","sexual","SC_pH7.3",0.045296597333996,0.0415848294691924
"F06_a3_A11_1","sexual","SC37C",0.0723485539169288,0.0332885794141822
"F06_a3_A11_1","sexual","YPD",0.0198193126844893,0.00127213212009125
"G02_a1.1_H02_1","asexual","SC_0.2M_NaCl",-0.00127858622357723,-0.0077845776574854
"G02_a1.1_H02_1","asexual","SC_pH7.3",0.0110841929104537,0.0116737286782989
"G02_a1.1_H02_1","asexual","SC37C",0.0064037779535586,0.0058529527514126
"G02_a1.1_H02_1","asexual","YPD",0.004843885702949,0.00751253072437475
"G03_a1.1_B12_1","asexual","SC_0.2M_NaCl",0.00202962011737878,-0.0218139416096687
"G03_a1.1_B12_1","asexual","SC_pH7.3",-0.0128267798066834,-0.0311593307663555
"G03_a1.1_B12_1","asexual","SC37C",-0.0737229063095741,-0.0345629039476589
"G03_a1.1_B12_1","asexual","YPD",-0.00513578869176891,-0.00412953710551527
"G04_a3_H09_1","sexual","SC_0.2M_NaCl",0.0187281404621548,0.0273968866587606
"G04_a3_H09_1","sexual","SC_pH7.3",0.0380549476184851,0.0293534817054251
"G04_a3_H09_1","sexual","SC37C",0.0757045399014635,0.053976513968337
"G04_a3_H09_1","sexual","YPD",0.0202213951507556,0.00569533664550905
"H04_a3_A02_1","sexual","SC_0.2M_NaCl",0.0226893978524307,0.0291145873500857
"H04_a3_A02_1","sexual","SC_pH7.3",0.0303698318361543,0.0424143534615882
"H04_a3_A02_1","sexual","SC37C",0.0569838595590773,0.04910902993563
"H04_a3_A02_1","sexual","YPD",0.0173931979439281,0.00171496108445355
"H05_a1.1_D12_1","asexual","SC_0.2M_NaCl",0.0123176058696353,-0.000411302407851396
"H05_a1.1_D12_1","asexual","SC_pH7.3",-0.025686016635433,-0.00586505268337559
"H05_a1.1_D12_1","asexual","SC37C",-0.116094213531419,-0.0689422516746372
"H05_a1.1_D12_1","asexual","YPD",-0.00934463070188499,0.00212798558617625
