clone_id,env,regime,anc,ref,kk_pop_id,fitness_gain_avg,fitness_gain_sd,env_group_mean,mc_gain,multi_count,single_count,tot_hits,pop_id
A05_A1.1_A08_2,SC_0.2M_NaCl,asexual,0,0,a1.1_A08,-0.0038381741850614,0.0114435207007638,-0.021914136913430138,0.018075962728368738,20,36,56,A05_A1.1_A08
A05_A1.1_A08_2,SC_pH7.3,asexual,0,0,a1.1_A08,0.0527494851165809,0.0036592108740213,0.029968819668503028,0.022780665448077875,20,36,56,A05_A1.1_A08
A05_A1.1_A08_2,SC30C,asexual,0,0,a1.1_A08,-0.0526040279889078,0.0072275956948111,-0.05714336091062842,0.004539332921720617,20,36,56,A05_A1.1_A08
A05_A1.1_A08_2,SC37C,asexual,0,0,a1.1_A08,-0.117181008555577,0.0549507536314402,-0.06669518684995192,-0.050485821705625086,20,36,56,A05_A1.1_A08
A05_A1.1_A08_2,YPD,asexual,0,0,a1.1_A08,-0.0115362533292305,0.0108716438369864,-0.007296789617243259,-0.0042394637119872415,20,36,56,A05_A1.1_A08
A06_A3_H07_1,lowP,sexual,0,0,a3_H07,0.005855927649201,0.0018713798161383,0.004241308982132484,0.0016146186670685158,4,14,18,A06_A3_H07
A06_A3_H07_1,SC_0.2M_NaCl,sexual,0,0,a3_H07,0.0218486240452076,0.0012169942350991,0.012973845153084822,0.008874778892122777,4,14,18,A06_A3_H07
A06_A3_H07_1,SC_pH7.3,sexual,0,0,a3_H07,0.109053972342578,0.0164503646459761,0.08577456353872868,0.023279408803849322,4,14,18,A06_A3_H07
A06_A3_H07_1,SC30C,sexual,0,0,a3_H07,-0.0154173617057482,0.0040203074958509,-0.016458419381894417,0.0010410576761462169,4,14,18,A06_A3_H07
A06_A3_H07_1,SC37C,sexual,0,0,a3_H07,0.0113658374332893,0.0185996707451984,0.013476052238255685,-0.0021102148049663844,4,14,18,A06_A3_H07
A06_A3_H07_1,YPD,sexual,0,0,a3_H07,-0.0077185375786015,0.001389014094212,0.006513714805136206,-0.014232252383737706,4,14,18,A06_A3_H07
A06_A3_H07_2,lowP,sexual,0,0,a3_H07,0.01879363506428,0.0233213619451381,0.004241308982132484,0.014552326082147517,9,6,15,A06_A3_H07
A06_A3_H07_2,SC_0.2M_NaCl,sexual,0,0,a3_H07,0.0213329972397134,0.0020429357619351,0.012973845153084822,0.00835915208662858,9,6,15,A06_A3_H07
A06_A3_H07_2,SC_pH7.3,sexual,0,0,a3_H07,0.114161120881341,0.0249707896814759,0.08577456353872868,0.02838655734261232,9,6,15,A06_A3_H07
A06_A3_H07_2,SC30C,sexual,0,0,a3_H07,0.0001113285971781,0.0134069277453101,-0.016458419381894417,0.016569747979072517,9,6,15,A06_A3_H07
A06_A3_H07_2,SC37C,sexual,0,0,a3_H07,0.0178408714230971,0.0339337910629104,0.013476052238255685,0.004364819184841415,9,6,15,A06_A3_H07
A06_A3_H07_2,YPD,sexual,0,0,a3_H07,0.0087531740024097,0.0024058612251978,0.006513714805136206,0.0022394591972734936,9,6,15,A06_A3_H07
B03_A3_H06_1,lowP,sexual,0,0,a3_H06,-0.003895479220447,0.0002583000158507,0.004241308982132484,-0.008136788202579483,9,13,22,B03_A3_H06
B03_A3_H06_1,SC_0.2M_NaCl,sexual,0,0,a3_H06,0.0085192277611295,0.0046471323886679,0.012973845153084822,-0.004454617391955322,9,13,22,B03_A3_H06
B03_A3_H06_1,SC_pH7.3,sexual,0,0,a3_H06,0.100159885655355,0.0039109648968845,0.08577456353872868,0.014385322116626312,9,13,22,B03_A3_H06
