"env","plate_block","X","well_id","well_id_96","well_id_96_no0","plate_id","F1_AP","F1_F1","F1_ID","F1","BLOCK_ID","PAR_ID","IS_ANC","kk_strain_id","regime","strain_id","parent","tot_1","ref_1","tot_2","ref_2","s_hat","plate_means","fitness_gain","unique_id","f1_unique_id","env_means","fitness_gain_adj"
"SC_0.2M_NaCl","4_4",1479,"P06","H03","H3","4","F12","D03","D05_D03",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_D03","D05",19611,12160,19086,16604,-0.141077531844195,NA,-0.141077531844195,"D05_a1.1_C12_1_H03","D05_a1.1_C12_1_H03",-0.115497523764393,-0.0255800080798017
"SC_0.2M_NaCl","4_4",1480,"P08","H04","H4","4","F12","D04","D05_D04",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_D04","D05",19632,9925,19545,14168,-0.0946645750809827,NA,-0.0946645750809827,"D05_a1.1_C12_1_H04","D05_a1.1_C12_1_H04",-0.115497523764393,0.0208329486834106
"SC_0.2M_NaCl","4_4",1481,"P10","H05","H5","4","F12","D05","D05_D05",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_D05","D05",19605,10564,18772,14494,-0.106456695334722,NA,-0.106456695334722,"D05_a1.1_C12_1_H05","D05_a1.1_C12_1_H05",-0.115497523764393,0.00904082842967131
"SC_0.2M_NaCl","4_4",1482,"P12","H06","H6","4","F12","D06","D05_D06",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_D06","D05",19678,9625,18050,13128,-0.102453961906836,NA,-0.102453961906836,"D05_a1.1_C12_1_H06","D05_a1.1_C12_1_H06",-0.115497523764393,0.0130435618575573
"SC_0.2M_NaCl","4_4",1483,"P14","H07","H7","4","F12","D07","D05_D07",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_D07","D05",19539,12789,17979,15516,-0.120144870887258,NA,-0.120144870887258,"D05_a1.1_C12_1_H07","D05_a1.1_C12_1_H07",-0.115497523764393,-0.00464734712286469
"SC_0.2M_NaCl","4_4",1484,"P16","H08","H8","4","F12","D08","D05_D08",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_D08","D05",19845,11630,19115,16664,-0.156912838437135,NA,-0.156912838437135,"D05_a1.1_C12_1_H08","D05_a1.1_C12_1_H08",-0.115497523764393,-0.0414153146727417
"SC_0.2M_NaCl","3_4",1369,"N01","G01","G1","3","E08","B01","D04_B01",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_B01","D04",19800,10300,19274,14844,-0.112834406251221,NA,-0.112834406251221,"D04_a1.1_H06_1_G01","D04_a1.1_H06_1_G01",-0.115497523764393,0.00266311751317232
"SC_0.2M_NaCl","3_4",1370,"N03","G02","G2","3","E08","B02","D04_B02",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_B02","D04",19760,9499,18656,13236,-0.0970008345579838,NA,-0.0970008345579838,"D04_a1.1_H06_1_G02","D04_a1.1_H06_1_G02",-0.115497523764393,0.0184966892064095
"SC_0.2M_NaCl","3_4",1371,"N05","G03","G3","3","E08","B03","D04_B03",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_B03","D04",19590,12286,18924,15891,-0.113616242307499,NA,-0.113616242307499,"D04_a1.1_H06_1_G03","D04_a1.1_H06_1_G03",-0.115497523764393,0.00188128145689431
"SC_0.2M_NaCl","3_4",1372,"N07","G04","G4","3","E08","B04","D04_B04",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_B04","D04",19764,9230,18388,12946,-0.0998789292308701,NA,-0.0998789292308701,"D04_a1.1_H06_1_G04","D04_a1.1_H06_1_G04",-0.115497523764393,0.0156185945335232
