"kk_pop_id","env","fitness_gain_mu_pop","fitness_gain_sd_pop"
"a1.1_A02","SC30C",-0.00111704802215758,0.00468292003543711
"a1.1_A02","SC37C",0.0436535496608666,0.0135874740110535
"a1.1_A02","SC_0.2M_NaCl",-0.00306331203254448,0.0100506519380523
"a1.1_A02","SC_pH7.3",0.096317093974046,0.00795238013461357
"a1.1_A02","YPD",0.0558810454224936,0.00469659691004924
"a1.1_A02","lowP",0.0354460703539283,0.00706910399001289
"a1.1_A05","SC30C",-0.00619781888482085,0.0118794785971376
"a1.1_A05","SC37C",0.0466321501658818,0.00585017224862908
"a1.1_A05","SC_0.2M_NaCl",-0.0383749708711102,0.00672483279691406
"a1.1_A05","SC_pH7.3",0.0814918363435898,0.00615098390086974
"a1.1_A05","YPD",0.053492398033961,0.00407815230752412
"a1.1_A05","lowP",0.00821146665375504,0.00403315667092733
"a1.1_A06","SC30C",-0.0190251785571511,0.00427611596165042
"a1.1_A06","SC37C",0.0200397595185196,0.00762868949411672
"a1.1_A06","SC_0.2M_NaCl",-0.0148555474674855,0.00586703058933271
"a1.1_A06","SC_pH7.3",0.0607244777497749,0.0256399570577369
"a1.1_A06","YPD",0.0524751867105808,0.00333560594193718
"a1.1_A06","lowP",-0.0121926961558375,0.00412372670174959
"a1.1_A08","SC30C",-0.0112863336473412,0.00369275929816439
"a1.1_A08","SC37C",-0.0664190426816729,0.00865900163583848
"a1.1_A08","SC_0.2M_NaCl",-0.00497408444586648,0.011776827908094
"a1.1_A08","SC_pH7.3",0.0847404409401553,0.00098291266577623
"a1.1_A08","YPD",0.0599486533542947,0.00818157403863349
"a1.1_A08","lowP",0.0147179038776284,0.00352826364080612
"a1.1_A09","SC30C",-0.038813784866477,0.0171369551133074
"a1.1_A09","SC37C",-0.00429027823282153,0.00545476412602887
"a1.1_A09","SC_0.2M_NaCl",-0.12151024616381,0.0212208492225269
"a1.1_A09","SC_pH7.3",-0.00757834446060087,0.006457483510078
"a1.1_A09","YPD",0.0468903115911773,0.00285635993694313
"a1.1_A09","lowP",-0.0549366912928431,0.0122605951042144
"a1.1_A10","SC30C",-0.0207952173261888,0.0096607812315104
"a1.1_A10","SC37C",-0.0141545927670657,0.00493038829269262
"a1.1_A10","SC_0.2M_NaCl",-0.0800684844699222,0.0160119095297349
"a1.1_A10","SC_pH7.3",0.0462811522886205,0.0128779999706928
"a1.1_A10","YPD",0.0413433832568435,0.0042640811526312
"a1.1_A10","lowP",0.00788173744441956,0.00906681461443433
"a1.1_A11","SC30C",0.000144133247380394,0.0160273146550479
"a1.1_A11","SC37C",-0.0216703204203898,0.00588155263717993
"a1.1_A11","SC_0.2M_NaCl",-0.0505506252804282,0.0131553765842466
"a1.1_A11","SC_pH7.3",0.0589663874301743,0.00895584357657119
"a1.1_A11","YPD",0.0616213448060647,0.00923339373093283
"a1.1_A11","lowP",-0.010422465520023,0.0101427030783762
"a1.1_A12","SC30C",-0.033790863017831,0.00553529845340877
"a1.1_A12","SC37C",0.0107336896116009,0.00997423481343408
"a1.1_A12","SC_0.2M_NaCl",-0.0560859329210665,0.00361844016722248
"a1.1_A12","SC_pH7.3",0.0555465339610996,0.0163285415651816
"a1.1_A12","YPD",0.0492463129305808,0.00103725552025257
"a1.1_A12","lowP",-0.0117903467177347,0.00951498279435613
"a1.1_B12","SC30C",-0.00627683425889366,0.00631691722481784
"a1.1_B12","SC37C",-0.00107640707674376,0.0069091868003058
"a1.1_B12","SC_0.2M_NaCl",-0.031615742424506,0.00745937999549827
"a1.1_B12","SC_pH7.3",0.0537995371082287,0.000541286592712997
"a1.1_B12","YPD",0.0583596817986369,0.00329321121692657
"a1.1_B12","lowP",-0.00514474391107471,0.00982940945146571
"a1.1_C12","SC30C",-0.00439281830495798,0.00794287374220096
"a1.1_C12","SC37C",0.0619576909212763,0.0073280747314327
"a1.1_C12","SC_0.2M_NaCl",-0.0205654358515197,0.00605022489009267
"a1.1_C12","SC_pH7.3",0.101258870597921,0.00102346526212681
"a1.1_C12","YPD",0.06334231922419,0.0060945678994222
"a1.1_C12","lowP",0.0127541461967155,0.00978782655774417
"a1.1_D12","SC30C",-0.0231381063951607,0.00380661045823668
"a1.1_D12","SC37C",0.000166641563789271,0.00217621068945655
"a1.1_D12","SC_0.2M_NaCl",-0.0469526271035962,0.0128364768566776
"a1.1_D12","SC_pH7.3",0.061091488372053,0.00831801817982572
"a1.1_D12","YPD",0.0418922504177559,0.00821315411368507
"a1.1_D12","lowP",-0.0117410146532058,0.00359744810704064
"a1.1_E12","SC30C",0.00203044740259785,0.00863907224218175
"a1.1_E12","SC37C",0.0714565318008754,0.00688807907170714
"a1.1_E12","SC_0.2M_NaCl",-0.0634533610571222,0.0141301383883062
"a1.1_E12","SC_pH7.3",0.10671097873832,0.00872853222859143
"a1.1_E12","YPD",0.0770286448762261,0.00465083824290623
"a1.1_E12","lowP",-0.0323189515614771,0.017313247134106
"a1.1_G01","SC30C",-0.016793386904865,0.00803691597622423
"a1.1_G01","SC37C",0.000429727180590967,0.00586992699959432
"a1.1_G01","SC_0.2M_NaCl",-0.0421848771503045,0.0037156031100265
"a1.1_G01","SC_pH7.3",0.0501683398293908,0.00669625910963428
